"id_question","finished","thread_length","outstd_count","contains_outstanding"
"39,008",1,5,4,yes
"39,011",0,9,7,yes
"39,013",1,11,9,yes
"39,016",1,3,3,yes
"39,019",1,2,1,yes
"39,020",0,2,2,yes
"39,022",1,6,6,yes
"39,023",0,8,8,yes
"39,024",0,14,14,yes
"39,029",0,4,2,yes
"39,035",0,5,4,yes
"39,037",1,7,6,yes
"39,039",1,16,15,yes
"39,040",1,6,6,yes
"39,050",1,3,2,yes
"39,053",1,4,4,yes
"39,055",0,5,5,yes
"39,056",1,3,3,yes
"39,060",1,7,5,yes
"39,061",1,3,3,yes
"39,064",1,7,6,yes
"39,067",1,3,2,yes
"39,069",1,6,6,yes
"39,072",1,7,5,yes
"39,075",0,6,6,yes
"39,076",1,4,4,yes
"39,077",1,4,2,yes
"39,082",1,5,5,yes
"39,085",1,5,5,yes
"39,087",0,15,12,yes
"39,088",1,9,8,yes
"39,090",0,1,1,yes
"39,091",0,3,3,yes
"39,092",0,9,7,yes
"39,097",0,2,1,yes
"39,099",1,3,3,yes
"39,101",1,6,2,yes
"39,102",0,4,3,yes
"39,103",1,10,8,yes
"39,106",1,7,6,yes
"39,110",1,5,5,yes
"39,112",1,2,2,yes
"39,113",1,11,10,yes
"39,115",0,4,2,yes
"39,119",1,3,3,yes
"39,122",1,4,3,yes
"39,125",1,5,5,yes
"39,126",0,8,5,yes
"39,127",0,4,2,yes
"39,128",0,2,1,yes
"39,133",1,21,21,yes
"39,137",1,8,8,yes
"39,139",0,6,5,yes
"39,143",1,2,2,yes
"39,146",0,2,1,yes
"39,150",0,11,10,yes
"39,151",1,6,6,yes
"39,152",0,1,1,yes
"39,154",0,4,4,yes
"39,158",0,8,5,yes
"39,162",1,2,2,yes
"39,164",1,3,3,yes
"39,168",1,2,2,yes
"39,169",1,2,2,yes
"39,170",1,3,3,yes
"39,174",1,5,5,yes
"39,175",1,5,5,yes
"39,176",1,5,5,yes
"39,178",1,5,5,yes
"39,181",1,2,2,yes
"39,183",0,3,3,yes
"39,184",1,3,3,yes
"39,185",0,3,3,yes
"39,187",1,5,2,yes
"39,189",1,6,6,yes
"39,191",1,2,1,yes
"39,195",0,4,4,yes
"39,196",1,11,10,yes
"39,197",1,6,5,yes
"39,199",1,7,7,yes
"39,200",0,6,6,yes
"39,201",1,3,2,yes
"39,205",0,10,8,yes
"39,206",1,5,4,yes
"39,207",1,2,2,yes
"39,211",1,3,3,yes
"39,212",0,5,5,yes
"39,214",1,6,4,yes
"39,215",0,9,2,yes
"39,216",1,4,3,yes
"39,220",0,2,0,no
"39,222",1,11,10,yes
"39,224",1,2,1,yes
"39,227",0,4,2,yes
"39,228",1,5,2,yes
"39,230",1,7,6,yes
"39,231",1,3,3,yes
"39,232",1,4,4,yes
"39,233",0,4,4,yes
"39,235",1,3,3,yes
"39,241",0,3,2,yes
"39,242",1,8,8,yes
"39,244",0,4,2,yes
"39,246",0,4,4,yes
"39,247",0,3,2,yes
"39,250",1,2,2,yes
"39,252",1,2,2,yes
"39,253",0,3,3,yes
"39,255",1,5,5,yes
"39,261",1,10,9,yes
"39,265",1,7,4,yes
"39,271",1,2,2,yes
"39,273",0,7,6,yes
"39,277",1,4,2,yes
"39,279",1,7,7,yes
"39,284",1,2,2,yes
"39,287",1,3,3,yes
"39,288",1,5,5,yes
"39,289",1,10,10,yes
"39,291",1,8,5,yes
"39,295",1,5,4,yes
"39,297",0,1,1,yes
"39,299",0,3,3,yes
"39,300",1,4,3,yes
"39,302",1,3,2,yes
"39,305",1,3,3,yes
"39,306",1,3,3,yes
"39,307",0,3,2,yes
"39,309",0,4,4,yes
"39,311",0,11,11,yes
"39,312",0,2,1,yes
"39,318",1,8,8,yes
"39,326",1,5,5,yes
"39,330",0,1,1,yes
"39,331",1,7,7,yes
"39,332",1,4,2,yes
"39,334",1,2,1,yes
"39,336",1,2,1,yes
"39,339",0,3,3,yes
"39,340",0,3,3,yes
"39,346",1,2,2,yes
"39,347",0,10,9,yes
"39,349",1,3,2,yes
"39,350",0,5,3,yes
"39,353",1,3,3,yes
"39,356",1,9,9,yes
"39,357",1,3,3,yes
"39,358",0,3,2,yes
"39,362",0,7,4,yes
"39,365",0,11,11,yes
"39,366",0,4,2,yes
"39,368",0,4,4,yes
"39,369",1,13,13,yes
"39,371",1,7,6,yes
"39,373",1,17,16,yes
"39,375",0,3,2,yes
"39,378",1,3,3,yes
"39,379",0,3,2,yes
"39,380",0,10,10,yes
"39,381",0,2,1,yes
"39,383",1,8,5,yes
"39,385",1,5,4,yes
"39,386",0,6,6,yes
"39,389",1,5,5,yes
"39,392",1,7,3,yes
"39,395",1,2,2,yes
"39,396",0,8,8,yes
"39,398",1,2,1,yes
"39,400",0,3,2,yes
"39,402",0,2,2,yes
"39,403",0,7,7,yes
"39,406",0,5,5,yes
"39,411",0,6,6,yes
"39,413",0,12,10,yes
"39,415",0,9,4,yes
"39,416",0,3,2,yes
"39,417",1,2,2,yes
"39,418",1,9,7,yes
"39,422",0,3,3,yes
"39,425",1,12,10,yes
"39,428",1,2,2,yes
"39,429",0,4,3,yes
"39,430",1,5,5,yes
"39,432",1,8,8,yes
"39,435",0,6,6,yes
"39,437",0,2,1,yes
"39,441",1,4,2,yes
"39,443",1,6,6,yes
"39,444",1,2,1,yes
"39,446",1,7,7,yes
"39,447",1,4,4,yes
"39,449",1,16,11,yes
"39,452",1,4,3,yes
"39,453",1,7,5,yes
"39,456",1,4,4,yes
"39,459",1,7,5,yes
"39,461",1,8,6,yes
"39,463",1,8,8,yes
"39,465",0,5,5,yes
"39,469",0,7,5,yes
"39,471",1,5,4,yes
"39,472",0,4,3,yes
"39,475",0,5,5,yes
"39,476",1,4,4,yes
"39,481",1,3,3,yes
"39,483",1,8,8,yes
"39,484",0,2,1,yes
"39,489",1,4,3,yes
"39,490",1,6,6,yes
"39,493",1,3,2,yes
"39,495",0,3,3,yes
"39,497",1,4,4,yes
"39,500",0,2,2,yes
"39,501",1,5,4,yes
"39,503",1,4,2,yes
"39,504",1,5,5,yes
"39,505",0,1,1,yes
"39,508",1,3,3,yes
"39,509",0,2,1,yes
"39,511",0,10,8,yes
"39,514",0,7,5,yes
"39,515",1,3,3,yes
"39,516",1,8,3,yes
"39,519",0,6,4,yes
"39,524",1,5,5,yes
"39,526",1,4,3,yes
"39,527",0,2,1,yes
"39,528",0,7,4,yes
"39,531",1,5,4,yes
"39,533",0,4,4,yes
"39,534",0,2,1,yes
"39,535",1,4,4,yes
"39,537",0,4,3,yes
"39,539",1,10,10,yes
"39,543",0,3,2,yes
"39,544",1,4,2,yes
"39,545",0,6,5,yes
"39,547",0,3,2,yes
"39,549",1,4,2,yes
"39,550",1,5,3,yes
"39,555",1,7,7,yes
"39,556",1,3,2,yes
"39,559",0,8,8,yes
"39,561",1,9,9,yes
"39,564",1,3,2,yes
"39,565",1,2,2,yes
"39,566",1,7,7,yes
"39,569",1,4,2,yes
"39,572",1,5,2,yes
"39,574",0,3,1,yes
"39,579",1,4,2,yes
"39,580",0,4,3,yes
"39,581",1,13,9,yes
"39,585",0,11,5,yes
"39,589",1,2,2,yes
"39,590",1,7,6,yes
"39,591",1,3,3,yes
"39,593",1,6,4,yes
"39,596",1,2,1,yes
"39,597",1,6,5,yes
"39,600",0,2,1,yes
"39,601",0,6,2,yes
"39,603",0,6,5,yes
"39,604",1,5,3,yes
"39,606",1,5,5,yes
"39,609",1,7,6,yes
"39,611",0,3,2,yes
"39,618",0,10,10,yes
"39,620",1,3,1,yes
"39,621",1,8,7,yes
"39,622",1,3,0,no
"39,627",1,17,17,yes
"39,628",1,2,2,yes
"39,631",0,9,9,yes
"39,632",0,8,6,yes
"39,635",1,7,4,yes
"39,640",0,3,2,yes
"39,643",0,6,6,yes
"39,645",0,4,4,yes
"39,646",0,11,10,yes
"39,647",1,2,1,yes
"39,651",0,4,3,yes
"39,652",1,9,9,yes
"39,656",1,4,4,yes
"39,657",1,3,3,yes
"39,658",0,4,3,yes
"39,660",1,5,5,yes
"39,661",0,8,8,yes
"39,662",1,3,3,yes
"39,669",1,9,5,yes
"39,672",1,5,3,yes
"39,673",1,7,6,yes
"39,677",0,21,15,yes
"39,678",0,10,6,yes
"39,680",0,7,6,yes
"39,681",1,2,1,yes
"39,685",1,3,3,yes
"39,686",1,5,4,yes
"39,687",0,5,5,yes
"39,690",0,5,1,yes
"39,694",1,3,3,yes
"39,696",1,4,4,yes
"39,697",1,2,1,yes
"39,702",1,14,12,yes
"39,704",1,9,7,yes
"39,706",0,6,4,yes
"39,708",0,6,6,yes
"39,714",1,8,5,yes
"39,716",1,4,3,yes
"39,719",1,4,4,yes
"39,721",1,3,1,yes
"39,723",0,2,1,yes
"39,724",0,5,4,yes
"39,725",1,2,2,yes
"39,726",0,9,8,yes
"39,727",0,3,1,yes
"39,729",0,11,11,yes
"39,730",1,11,8,yes
"39,731",0,10,6,yes
"39,733",1,8,7,yes
"39,736",1,9,7,yes
"39,737",1,5,3,yes
"39,740",1,3,3,yes
"39,741",0,2,2,yes
"39,745",1,4,3,yes
"39,746",0,2,1,yes
"39,749",0,3,2,yes
"39,751",0,8,6,yes
"39,752",1,3,3,yes
"39,753",1,3,2,yes
"39,756",0,2,1,yes
"39,758",0,12,10,yes
"39,760",1,2,1,yes
"39,765",0,2,2,yes
"39,766",1,15,13,yes
"39,768",1,23,20,yes
"39,773",1,26,25,yes
"39,776",0,13,10,yes
"39,778",0,10,8,yes
"39,780",0,7,5,yes
"39,784",1,7,7,yes
"39,789",0,2,2,yes
"39,792",0,4,3,yes
"39,795",0,4,3,yes
"39,797",1,7,7,yes
"39,798",0,3,3,yes
"39,799",1,3,3,yes
"39,802",0,3,2,yes
"39,805",0,5,4,yes
"39,806",1,3,3,yes
"39,809",1,9,9,yes
"39,811",1,6,6,yes
"39,812",1,5,5,yes
"39,813",1,6,6,yes
"39,814",1,3,3,yes
"39,815",1,6,6,yes
"39,822",0,1,0,no
"39,827",0,4,4,yes
"39,828",0,15,14,yes
"39,832",1,13,12,yes
"39,835",1,4,4,yes
"39,837",1,6,6,yes
"39,839",1,14,13,yes
"39,842",1,4,4,yes
"39,845",1,5,5,yes
"39,846",0,4,2,yes
"39,847",0,7,5,yes
"39,849",0,7,6,yes
"39,853",1,6,6,yes
"39,854",1,2,2,yes
"39,856",1,4,4,yes
"39,857",1,2,2,yes
"39,859",1,7,7,yes
"39,860",0,4,3,yes
"39,862",1,4,4,yes
"39,864",0,3,1,yes
"39,868",1,4,3,yes
"39,870",1,3,3,yes
"39,871",0,3,2,yes
"39,873",0,3,2,yes
"39,875",1,3,3,yes
"39,880",0,2,1,yes
"39,881",1,3,2,yes
"39,884",0,3,1,yes
"39,886",0,5,5,yes
"39,887",0,3,2,yes
"39,891",1,8,8,yes
"39,892",1,5,3,yes
"39,893",0,3,1,yes
"39,898",1,2,2,yes
"39,900",1,2,1,yes
"39,901",0,9,7,yes
"39,904",0,6,4,yes
"39,907",1,2,1,yes
"39,908",1,6,4,yes
"39,910",1,12,10,yes
"39,913",1,6,6,yes
"39,915",0,7,5,yes
"39,919",1,4,2,yes
"39,924",0,3,2,yes
"39,925",0,8,7,yes
"39,926",0,6,4,yes
"39,927",1,4,4,yes
"39,930",1,3,3,yes
"39,932",1,5,5,yes
"39,934",1,5,4,yes
"39,936",0,10,6,yes
"39,939",0,9,8,yes
"39,943",0,4,3,yes
"39,945",1,3,2,yes
"39,947",1,2,1,yes
"39,949",1,2,2,yes
"39,951",1,2,2,yes
"39,953",1,5,5,yes
"39,955",0,4,4,yes
"39,956",0,2,1,yes
"39,958",1,3,1,yes
"39,960",1,4,4,yes
"39,962",1,8,7,yes
"39,964",1,2,1,yes
"39,965",1,2,2,yes
"39,966",1,2,2,yes
"39,968",1,6,5,yes
"39,972",1,4,4,yes
"39,973",1,8,8,yes
"39,975",0,5,2,yes
"39,977",1,4,4,yes
"39,979",0,11,8,yes
"39,980",1,5,4,yes
"39,984",1,3,3,yes
"39,987",0,2,2,yes
"39,988",1,4,4,yes
"39,991",0,3,3,yes
"39,993",0,3,2,yes
"39,995",1,3,2,yes
"39,996",1,4,4,yes
"39,998",1,5,5,yes
"40,002",1,4,4,yes
"40,003",0,7,6,yes
"40,004",1,5,3,yes
"40,007",1,17,14,yes
"40,008",0,6,6,yes
"40,009",1,5,5,yes
"40,010",1,5,5,yes
"40,015",1,2,2,yes
"40,016",0,4,3,yes
"40,020",0,7,7,yes
"40,022",1,6,6,yes
"40,023",1,6,5,yes
"40,025",1,11,11,yes
"40,027",1,4,3,yes
"40,029",0,4,4,yes
"40,035",0,4,3,yes
"40,037",0,6,6,yes
"40,039",1,4,4,yes
"40,040",0,2,1,yes
"40,041",0,4,3,yes
"40,042",0,8,6,yes
"40,045",0,6,6,yes
"40,047",0,2,1,yes
"40,052",1,10,10,yes
"40,053",0,6,4,yes
"40,054",1,2,2,yes
"40,055",1,4,4,yes
"40,056",0,2,1,yes
"40,058",0,5,2,yes
"40,059",0,5,5,yes
"40,062",0,7,6,yes
"40,065",0,3,2,yes
"40,066",1,12,8,yes
"40,070",0,6,6,yes
"40,071",1,3,2,yes
"40,072",1,11,10,yes
"40,075",1,7,7,yes
"40,078",0,2,1,yes
"40,090",0,2,1,yes
"40,096",0,7,6,yes
"40,097",1,6,4,yes
"40,101",0,4,4,yes
"40,102",1,4,4,yes
"40,103",1,6,3,yes
"40,104",0,12,7,yes
"40,108",0,4,2,yes
"40,110",1,14,9,yes
"40,111",0,5,4,yes
"40,114",1,8,8,yes
"40,117",1,15,13,yes
"40,118",1,4,4,yes
"40,121",1,8,8,yes
"40,123",1,2,2,yes
"40,124",1,15,15,yes
"40,125",1,8,5,yes
"40,126",0,3,2,yes
"40,128",1,7,4,yes
"40,129",0,7,5,yes
"40,130",1,6,6,yes
"40,132",1,3,3,yes
"40,134",0,5,3,yes
"40,135",1,11,11,yes
"40,136",0,7,6,yes
"40,142",1,2,1,yes
"40,144",0,5,5,yes
"40,146",1,9,9,yes
"40,151",1,9,6,yes
"40,153",0,10,8,yes
"40,154",0,5,5,yes
"40,155",0,7,4,yes
"40,158",0,2,2,yes
"40,160",1,3,2,yes
"40,162",0,4,4,yes
"40,164",0,6,6,yes
"40,165",0,4,2,yes
"40,168",0,6,3,yes
"40,171",0,8,6,yes
"40,172",0,4,4,yes
"40,179",0,2,2,yes
"40,183",0,3,2,yes
"40,184",1,3,2,yes
"40,185",0,5,3,yes
"40,188",1,3,3,yes
"40,192",1,2,2,yes
"40,193",1,3,1,yes
"40,194",0,2,1,yes
"40,195",1,3,3,yes
"40,199",1,5,5,yes
"40,202",0,9,7,yes
"40,205",0,8,7,yes
"40,206",0,3,2,yes
"40,207",1,8,8,yes
"40,210",0,4,3,yes
"40,215",1,6,6,yes
"40,216",0,6,4,yes
"40,217",0,4,3,yes
"40,222",0,2,1,yes
"40,224",1,4,4,yes
"40,227",1,2,1,yes
"40,229",1,9,9,yes
"40,231",1,2,1,yes
"40,232",0,6,5,yes
"40,235",0,8,8,yes
"40,236",0,7,7,yes
"40,240",1,4,2,yes
"40,241",1,4,2,yes
"40,242",0,3,2,yes
"40,245",1,3,2,yes
"40,247",1,8,8,yes
"40,251",1,7,4,yes
"40,252",1,4,4,yes
"40,253",0,8,7,yes
"40,259",1,6,2,yes
"40,268",1,3,2,yes
"40,269",1,6,6,yes
"40,270",1,10,10,yes
"40,275",0,6,5,yes
"40,276",0,2,1,yes
"40,280",0,3,3,yes
"40,281",0,5,5,yes
"40,282",0,7,3,yes
"40,283",1,11,6,yes
"40,286",1,7,7,yes
"40,287",0,4,4,yes
"40,288",1,4,2,yes
"40,291",1,4,4,yes
"40,292",0,4,3,yes
"40,293",1,8,6,yes
"40,297",0,4,3,yes
"40,298",1,3,2,yes
"40,300",1,7,5,yes
"40,305",0,6,3,yes
"40,306",0,8,5,yes
"40,307",0,5,5,yes
"40,308",0,4,4,yes
"40,309",1,10,9,yes
"40,311",0,3,2,yes
"40,312",1,5,3,yes
"40,315",1,2,2,yes
"40,316",1,14,8,yes
"40,321",1,2,2,yes
"40,323",0,6,5,yes
"40,324",0,4,2,yes
"40,327",1,2,2,yes
"40,328",0,4,4,yes
"40,334",1,3,1,yes
"40,336",1,12,5,yes
"40,337",0,9,8,yes
"40,338",1,11,11,yes
"40,339",0,6,6,yes
"40,341",0,10,7,yes
"40,343",0,9,9,yes
"40,346",1,4,4,yes
"40,347",1,5,3,yes
"40,348",1,11,6,yes
"40,349",0,7,7,yes
"40,350",1,5,5,yes
"40,355",0,4,4,yes
"40,361",0,3,2,yes
"40,363",0,6,3,yes
"40,366",0,7,5,yes
"40,367",0,10,8,yes
"40,370",1,5,2,yes
"40,373",0,7,7,yes
"40,378",1,8,6,yes
"40,380",0,3,2,yes
"40,381",1,2,1,yes
"40,387",0,7,7,yes
"40,388",1,8,8,yes
"40,392",0,4,4,yes
"40,393",0,9,8,yes
"40,394",1,4,3,yes
"40,398",0,6,4,yes
"40,399",0,7,7,yes
"40,402",0,14,14,yes
"40,403",0,10,10,yes
"40,409",1,4,2,yes
"40,412",1,2,2,yes
"40,413",0,8,6,yes
"40,415",1,3,3,yes
"40,416",0,3,2,yes
"40,418",0,15,15,yes
"40,422",1,4,4,yes
"40,423",0,5,5,yes
"40,425",1,13,13,yes
"40,427",0,2,1,yes
"40,430",0,3,2,yes
"40,432",1,5,5,yes
"40,434",1,4,4,yes
"40,436",1,6,6,yes
"40,439",1,8,3,yes
"40,442",1,4,1,yes
"40,446",1,5,4,yes
"40,449",0,10,7,yes
"40,454",0,6,3,yes
"40,455",0,6,5,yes
"40,460",1,2,1,yes
"40,465",1,10,5,yes
"40,467",0,9,8,yes
"40,470",1,2,2,yes
"40,473",1,2,1,yes
"40,475",1,3,2,yes
"40,476",1,8,8,yes
"40,481",0,3,2,yes
"40,482",0,5,4,yes
"40,484",0,2,1,yes
"40,485",1,3,3,yes
"40,487",1,3,3,yes
"40,498",0,3,3,yes
"40,499",1,4,4,yes
"40,500",1,4,2,yes
"40,501",1,4,2,yes
"40,508",0,2,1,yes
"40,509",0,18,15,yes
"40,511",0,7,6,yes
"40,512",1,4,3,yes
"40,521",0,3,1,yes
"40,522",0,7,6,yes
"40,527",1,5,5,yes
"40,530",1,3,2,yes
"40,532",0,5,2,yes
"40,535",0,7,7,yes
"40,537",1,6,6,yes
"40,538",0,6,3,yes
"40,539",1,2,2,yes
"40,541",0,9,9,yes
"40,542",0,4,4,yes
