"id","id_user","ari","characters","complexwords","syllables","sentences","words","class","class2"
"19,926","10,171",16.734,898,36,322,6,188,top_5,outstanding
"19,873","10,171",17.115,"1,418",69,529,10,263,top_5,outstanding
"19,784","10,171",15.301,"1,048",54,369,8,208,top_5,outstanding
"19,765","10,171",13.015,"1,337",65,495,13,256,top_5,outstanding
"19,762","10,171",21.35,774,23,273,4,182,top_5,outstanding
"19,732","10,171",10.956,"1,028",45,368,12,202,top_5,outstanding
"19,730","10,171",8.777,617,24,228,7,148,top_5,outstanding
"19,716","10,171",9.544,693,25,234,8,152,top_5,outstanding
"19,555","10,171",11.303,"1,350",37,459,13,300,top_5,outstanding
"19,551","10,171",9.7,744,20,251,9,156,top_5,outstanding
"19,514","10,171",11.829,"1,754",63,620,16,395,top_5,outstanding
"19,476","10,171",16.478,"1,038",34,356,7,221,top_5,outstanding
"19,475","10,171",16.236,"1,326",47,461,9,289,top_5,outstanding
"19,461","10,171",14.033,"1,009",42,352,8,217,top_5,outstanding
"19,096","10,171",12.724,"2,427",100,875,21,532,top_5,outstanding
"18,852","10,171",13.791,"1,976",68,669,16,423,top_5,outstanding
"18,822","10,171",17.624,796,35,299,5,170,top_5,outstanding
"18,820","10,171",11.161,976,46,336,11,193,top_5,outstanding
"19,035","10,171",11.129,621,20,216,6,140,top_5,outstanding
"19,034","10,171",11.591,"1,210",38,407,12,254,top_5,outstanding
"19,270","10,171",11.969,862,39,317,8,187,top_5,outstanding
"19,215","10,171",17.737,"1,119",45,385,7,237,top_5,outstanding
"19,202","10,171",14.843,550,14,190,4,127,top_5,outstanding
"19,179","10,171",14.188,"1,423",49,512,11,314,top_5,outstanding
"19,177","10,171",10.927,420,14,156,4,99,top_5,outstanding
"19,392","10,171",11.907,889,34,311,9,179,top_5,outstanding
"19,360","10,171",11.56,995,38,332,10,207,top_5,outstanding
"18,738","10,171",16.619,"2,300",98,823,16,454,top_5,outstanding
"18,703","10,171",16.294,"2,154",94,748,15,440,top_5,outstanding
"18,529","10,171",12.001,"1,632",59,563,15,357,top_5,outstanding
"18,515","10,171",11.054,"1,296",41,467,12,316,top_5,outstanding
"18,458","10,171",13.635,"2,034",99,732,17,424,top_5,outstanding
"18,456","10,171",11.14,"1,403",43,500,13,337,top_5,outstanding
"18,413","10,171",21.637,983,44,356,5,207,top_5,outstanding
"18,279","10,171",8.935,"2,243",71,772,27,501,top_5,outstanding
"17,614","10,171",18.33,"1,112",44,366,7,214,top_5,outstanding
"17,580","10,171",8.36,612,15,195,8,135,top_5,outstanding
"17,578","10,171",11.931,"1,757",45,573,16,392,top_5,outstanding
"17,506","10,171",15.577,"1,685",67,589,12,362,top_5,outstanding
"17,496","10,171",12.912,"1,712",69,609,15,362,top_5,outstanding
"17,494","10,171",7.04,"1,040",21,360,13,272,top_5,outstanding
"17,471","10,171",10.277,400,16,155,4,95,top_5,outstanding
"17,464","10,171",8.147,"1,364",40,459,18,304,top_5,outstanding
"18,078","10,171",14.193,"1,128",38,394,9,236,top_5,outstanding
"18,068","10,171",15.715,686,33,246,5,139,top_5,outstanding
"18,055","10,171",7.964,"1,037",33,353,14,231,top_5,outstanding
"17,966","10,171",12.727,929,38,349,8,205,top_5,outstanding
"17,951","10,171",9.948,688,25,263,7,166,top_5,outstanding
"17,949","10,171",12.642,458,19,160,4,100,top_5,outstanding
"17,946","10,171",15.504,"1,778",71,627,13,367,top_5,outstanding
"17,926","10,171",16.81,615,22,221,4,138,top_5,outstanding
"17,446","10,171",16.241,890,49,346,6,198,top_5,outstanding
"17,432","10,171",11.849,"2,632",110,922,25,563,top_5,outstanding
"17,428","10,171",16.21,"2,763",107,"1,000",19,585,top_5,outstanding
"17,427","10,171",14.828,"2,918",108,"1,042",22,620,top_5,outstanding
"16,912","10,171",13.815,495,21,179,4,106,top_5,outstanding
"16,337","10,171",18.834,"1,204",30,406,7,275,top_5,outstanding
"16,331","10,171",9.843,"1,634",62,565,19,348,top_5,outstanding
"16,321","10,171",11.948,"1,529",44,535,14,338,top_5,outstanding
"16,248","10,171",15.294,704,23,250,5,160,top_5,outstanding
"16,242","10,171",13.458,606,27,218,5,131,top_5,outstanding
"16,189","10,171",12.431,"1,446",41,498,13,311,top_5,outstanding
"16,779","10,171",14.529,"1,372",57,499,11,276,top_5,outstanding
"16,777","10,171",14.347,"1,170",36,405,9,255,top_5,outstanding
"16,759","10,171",6.612,"1,027",27,342,16,233,top_5,outstanding
"16,729","10,171",14.008,865,27,288,7,181,top_5,outstanding
"16,667","10,171",13.991,896,32,320,7,199,top_5,outstanding
"16,657","10,171",9.299,"1,512",33,488,17,347,top_5,outstanding
"15,607","10,171",14.885,685,25,240,5,155,top_5,outstanding
"15,530","10,171",15.126,679,17,223,5,145,top_5,outstanding
"16,033","10,171",10.605,831,25,288,8,201,top_5,outstanding
"16,032","10,171",14.295,899,40,336,7,193,top_5,outstanding
"16,012","10,171",19.469,884,27,301,5,191,top_5,outstanding
"16,009","10,171",7.807,743,29,265,11,159,top_5,outstanding
"15,981","10,171",9.567,788,28,270,9,174,top_5,outstanding
"15,971","10,171",9.611,"1,035",29,358,12,225,top_5,outstanding
"15,962","10,171",12.934,"1,205",29,398,10,276,top_5,outstanding
"15,961","10,171",12.044,543,22,190,5,118,top_5,outstanding
"15,752","10,171",18.81,"1,019",41,358,6,215,top_5,outstanding
"15,750","10,171",14.582,649,29,228,5,137,top_5,outstanding
"15,749","10,171",11.535,"1,153",44,413,11,253,top_5,outstanding
"15,763","10,171",8.251,321,10,115,4,74,top_5,outstanding
"15,674","10,171",12.812,"1,311",48,461,11,299,top_5,outstanding
"15,658","10,171",15.69,"1,423",54,495,10,310,top_5,outstanding
"15,635","10,171",16.125,"1,154",50,414,8,243,top_5,outstanding
"15,932","10,171",15.649,534,26,194,4,105,top_5,outstanding
"15,918","10,171",12.199,899,26,311,8,201,top_5,outstanding
"15,911","10,171",7.356,486,20,178,7,109,top_5,outstanding
"15,903","10,171",11.776,"1,721",58,595,16,380,top_5,outstanding
"15,896","10,171",20.769,"1,890",66,679,10,428,top_5,outstanding
"15,871","10,171",11.398,631,21,220,6,141,top_5,outstanding
"15,856","10,171",3.041,439,9,151,9,114,top_5,outstanding
"15,854","10,171",10.511,"1,462",44,476,16,309,top_5,outstanding
"15,841","10,171",32.374,588,22,205,2,130,top_5,outstanding
"15,810","10,171",10.546,"1,254",41,436,13,277,top_5,outstanding
"15,778","10,171",13.438,"1,092",27,362,9,237,top_5,outstanding
"15,777","10,171",13.46,"1,124",48,402,10,223,top_5,outstanding
"15,775","10,171",13.086,822,32,303,7,177,top_5,outstanding
"16,178","10,171",5.868,181,7,62,3,42,top_5,outstanding
"16,177","10,171",13.071,"1,658",51,582,14,362,top_5,outstanding
"15,377","10,171",14.393,"1,392",70,514,11,289,top_5,outstanding
"15,058","10,171",14.779,"1,389",40,457,11,277,top_5,outstanding
"15,031","10,171",7.452,894,30,306,13,198,top_5,outstanding
"15,009","10,171",8.327,517,15,178,6,127,top_5,outstanding
"15,000","10,171",15.224,"1,524",48,510,11,335,top_5,outstanding
"14,996","10,171",8.619,656,26,240,8,149,top_5,outstanding
"15,041","10,171",13.098,720,29,253,6,160,top_5,outstanding
"14,976","10,171",11.152,643,23,221,7,130,top_5,outstanding
"14,974","10,171",12.765,"1,616",52,552,14,352,top_5,outstanding
"14,923","10,171",13.22,"1,163",41,389,10,244,top_5,outstanding
"14,760","10,171",18.994,855,28,290,5,178,top_5,outstanding
"14,746","10,171",12.372,"1,191",49,407,11,250,top_5,outstanding
"14,737","10,171",15.486,"1,262",53,445,9,274,top_5,outstanding
"14,732","10,171",25.467,691,20,244,3,157,top_5,outstanding
"14,744","10,171",9.411,565,7,183,6,137,top_5,outstanding
"14,718","10,171",13.857,833,29,292,7,169,top_5,outstanding
"14,672","10,171",7.079,761,28,265,11,174,top_5,outstanding
"14,626","10,171",12.69,"1,044",26,344,9,231,top_5,outstanding
"14,549","10,171",8.723,"1,322",37,449,15,319,top_5,outstanding
"14,617","10,171",10.001,455,13,157,5,100,top_5,outstanding
"14,525","10,171",15.633,"1,594",70,541,12,312,top_5,outstanding
"14,523","10,171",10.707,897,29,314,9,202,top_5,outstanding
"14,527","10,171",13.912,740,26,259,6,156,top_5,outstanding
"14,506","10,171",20.055,548,20,197,3,126,top_5,outstanding
"14,491","10,171",9.017,"1,183",45,424,14,266,top_5,outstanding
"14,490","10,171",19.515,711,25,248,4,158,top_5,outstanding
"14,451","10,171",15.402,"1,650",64,575,12,348,top_5,outstanding
"14,449","10,171",7.424,727,20,239,10,167,top_5,outstanding
"14,444","10,171",10.115,"1,199",45,420,13,264,top_5,outstanding
"14,432","10,171",12.045,"1,057",56,415,10,223,top_5,outstanding
"14,428","10,171",9.102,887,28,308,10,207,top_5,outstanding
"14,399","10,171",11.843,564,22,201,5,133,top_5,outstanding
"14,371","10,171",11.742,965,32,344,9,213,top_5,outstanding
"14,368","10,171",10.041,748,23,259,8,168,top_5,outstanding
"14,361","10,171",12.484,652,25,225,6,136,top_5,outstanding
"14,342","10,171",10.474,"1,096",21,351,11,253,top_5,outstanding
"14,318","10,171",11.111,413,18,148,4,93,top_5,outstanding
"14,311","10,171",16.605,611,23,217,4,141,top_5,outstanding
"13,817","10,171",12.824,823,31,310,7,183,top_5,outstanding
"13,893","10,171",13.463,618,21,211,5,138,top_5,outstanding
"13,892","10,171",13.417,"1,341",50,470,11,294,top_5,outstanding
"13,881","10,171",8.852,"1,160",34,405,13,280,top_5,outstanding
"13,978","10,171",10.988,437,7,151,4,111,top_5,outstanding
"13,853","10,171",14.834,"1,751",60,609,13,383,top_5,outstanding
"13,851","10,171",7.631,581,8,194,7,148,top_5,outstanding
"13,826","10,171",13.2,581,26,211,5,122,top_5,outstanding
"13,787","10,171",10.187,"1,106",37,395,13,228,top_5,outstanding
"13,777","10,171",7.299,551,8,190,7,137,top_5,outstanding
"14,104","10,171",16.89,449,12,142,3,92,top_5,outstanding
"14,088","10,171",9.716,"1,057",28,360,11,254,top_5,outstanding
"14,079","10,171",13,"2,462",100,891,21,534,top_5,outstanding
"14,055","10,171",8.35,731,26,248,10,157,top_5,outstanding
"14,045","10,171",15.233,549,24,199,4,118,top_5,outstanding
"14,020","10,171",23.601,612,23,252,3,166,top_5,outstanding
"13,947","10,171",12.757,944,34,326,8,213,top_5,outstanding
"13,939","10,171",11.307,"1,051",33,353,10,237,top_5,outstanding
"13,998","10,171",12.643,666,25,219,6,140,top_5,outstanding
"13,935","10,171",14.681,671,31,255,5,149,top_5,outstanding
"14,270","10,171",9.761,664,21,244,7,156,top_5,outstanding
"14,223","10,171",10.457,"1,183",41,406,12,270,top_5,outstanding
"14,188","10,171",9.576,737,27,256,9,155,top_5,outstanding
"14,186","10,171",11.503,"1,390",45,466,14,290,top_5,outstanding
"14,022","10,171",11.04,318,9,118,3,75,top_5,outstanding
"14,126","10,171",9.142,439,15,162,5,101,top_5,outstanding
"13,232","10,171",11.206,522,18,181,5,118,top_5,outstanding
"13,268","10,171",10.308,938,34,316,11,192,top_5,outstanding
"13,215","10,171",14.141,"1,135",47,389,9,241,top_5,outstanding
"13,201","10,171",9.643,"1,001",32,327,12,212,top_5,outstanding
"13,520","10,171",9.934,441,17,150,5,95,top_5,outstanding
"13,293","10,171",9.403,331,10,109,4,71,top_5,outstanding
"13,405","10,171",8.785,359,10,125,4,88,top_5,outstanding
"13,248","10,171",18.441,503,16,171,3,110,top_5,outstanding
"13,743","10,171",15.383,791,33,280,6,157,top_5,outstanding
"13,741","10,171",12.344,"1,414",54,511,13,299,top_5,outstanding
"13,740","10,171",12.922,"2,002",55,672,17,441,top_5,outstanding
"13,738","10,171",14.645,"1,352",43,476,10,308,top_5,outstanding
"13,664","10,171",11.756,"3,292",107,"1,148",32,694,top_5,outstanding
"13,679","10,171",6.519,916,21,301,15,204,top_5,outstanding
"13,653","10,171",9.914,"1,113",34,381,12,251,top_5,outstanding
"13,648","10,171",15.421,"1,364",56,488,10,283,top_5,outstanding
"13,619","10,171",13.118,"1,162",38,397,10,246,top_5,outstanding
"13,463","10,171",9.67,"1,307",37,431,15,285,top_5,outstanding
"13,430","10,171",14.589,651,24,223,5,138,top_5,outstanding
"13,403","10,171",15.008,"1,492",58,519,11,323,top_5,outstanding
"13,393","10,171",12.424,833,32,289,8,168,top_5,outstanding
"13,383","10,171",9.234,696,27,238,9,145,top_5,outstanding
"13,390","10,171",12.209,"1,008",38,360,9,224,top_5,outstanding
"13,376","10,171",25.37,696,26,233,3,147,top_5,outstanding
"13,362","10,171",20.466,559,14,187,3,126,top_5,outstanding
"13,357","10,171",14.513,963,43,337,8,187,top_5,outstanding
"13,352","10,171",10.976,938,37,318,10,195,top_5,outstanding
"13,348","10,171",9.879,666,24,233,7,155,top_5,outstanding
"13,340","10,171",9.067,"1,248",36,421,15,276,top_5,outstanding
"12,928","10,171",13.292,613,19,214,5,138,top_5,outstanding
"12,887","10,171",7.909,762,31,284,11,164,top_5,outstanding
"12,886","10,171",14.485,794,25,265,6,176,top_5,outstanding
"12,861","10,171",13.785,"1,533",66,536,13,310,top_5,outstanding
"12,860","10,171",14.622,"1,792",79,633,14,369,top_5,outstanding
"12,852","10,171",14.963,942,42,346,7,202,top_5,outstanding
"12,838","10,171",8.797,352,15,126,5,72,top_5,outstanding
"12,836","10,171",16.829,"1,047",48,376,7,216,top_5,outstanding
"12,834","10,171",16.982,"1,079",48,386,7,235,top_5,outstanding
"12,831","10,171",0.654,168,4,58,5,45,top_5,outstanding
"12,812","10,171",8.639,673,13,227,8,156,top_5,outstanding
"12,890","10,171",12.837,473,13,155,4,106,top_5,outstanding
"12,772","10,171",8.881,676,16,221,9,142,top_5,outstanding
"12,763","10,171",18.958,"1,038",32,358,6,235,top_5,outstanding
"12,759","10,171",14.459,"1,408",58,499,11,295,top_5,outstanding
"12,757","10,171",15.359,977,38,343,7,214,top_5,outstanding
"12,593","10,171",17.164,"1,331",61,471,9,259,top_5,outstanding
"12,596","10,171",12.674,466,16,163,4,104,top_5,outstanding
"12,522","10,171",14.177,795,22,282,6,187,top_5,outstanding
"12,490","10,171",13.612,871,29,316,7,193,top_5,outstanding
"12,489","10,171",10.039,623,27,229,7,134,top_5,outstanding
"12,320","10,171",8.992,146,7,50,2,30,top_5,outstanding
"12,290","10,171",7.233,166,4,58,3,34,top_5,outstanding
"12,288","10,171",4.85,158,6,58,3,37,top_5,outstanding
"12,286","10,171",13.423,58,4,20,1,9,top_5,outstanding
"12,285","10,171",9.563,394,22,134,6,75,top_5,outstanding
"12,377","10,171",13.696,"1,229",43,436,10,264,top_5,outstanding
"12,366","10,171",9.978,889,27,292,10,192,top_5,outstanding
"12,357","10,171",13.812,"1,525",58,524,13,306,top_5,outstanding
"12,352","10,171",22.949,626,19,215,3,139,top_5,outstanding
"12,341","10,171",13.513,744,22,259,6,166,top_5,outstanding
"12,314","10,171",5.8,98,1,33,2,21,top_5,outstanding
"12,312","10,171",15.142,83,5,29,1,13,top_5,outstanding
"12,308","10,171",9.531,156,10,58,2,32,top_5,outstanding
"12,306","10,171",6.092,122,4,45,2,28,top_5,outstanding
"12,303","10,171",7.214,193,7,65,3,42,top_5,outstanding
"12,301","10,171",8.958,149,6,50,2,31,top_5,outstanding
"12,299","10,171",9.62,75,2,24,1,15,top_5,outstanding
"12,298","10,171",8.797,352,10,116,5,72,top_5,outstanding
"12,297","10,171",10.475,132,6,44,2,24,top_5,outstanding
"12,295","10,171",6.921,103,4,39,2,21,top_5,outstanding
"12,293","10,171",5.91,68,2,23,1,17,top_5,outstanding
"12,269","10,171",9.934,152,8,53,2,30,top_5,outstanding
"12,267","10,171",10.876,92,4,30,1,19,top_5,outstanding
"12,266","10,171",6.94,251,9,85,4,55,top_5,outstanding
"12,265","10,171",8.397,82,2,28,1,19,top_5,outstanding
"12,264","10,171",53.111,478,16,169,1,107,top_5,outstanding
"12,261","10,171",7.278,147,7,55,3,29,top_5,outstanding
"12,259","10,171",10.066,83,2,25,1,17,top_5,outstanding
"12,257","10,171",12.772,62,5,26,1,10,top_5,outstanding
"12,215","10,171",3.823,86,3,31,2,20,top_5,outstanding
"12,213","10,171",12.595,201,10,69,2,39,top_5,outstanding
"12,211","10,171",16.858,445,17,150,3,90,top_5,outstanding
"12,210","10,171",2.768,502,10,178,9,148,top_5,outstanding
"12,252","10,171",19.559,144,10,52,1,23,top_5,outstanding
"12,206","10,171",23.635,213,8,80,1,50,top_5,outstanding
"12,205","10,171",11.592,486,21,172,5,99,top_5,outstanding
"12,282","10,171",10.817,326,11,105,4,63,top_5,outstanding
"12,197","10,171",10.67,"1,094",34,381,12,228,top_5,outstanding
"12,217","10,171",6.55,224,9,81,4,48,top_5,outstanding
"12,188","10,171",8.937,"1,758",42,584,21,395,top_5,outstanding
"12,208","10,171",18.339,823,36,293,5,171,top_5,outstanding
"12,229","10,171",15.884,104,5,35,1,17,top_5,outstanding
"12,227","10,171",10.856,165,8,61,2,32,top_5,outstanding
"12,225","10,171",2.957,38,1,13,1,9,top_5,outstanding
"12,150","10,171",12.233,686,12,219,6,157,top_5,outstanding
"12,221","10,171",5.556,116,7,46,2,27,top_5,outstanding
"12,231","10,171",4.527,41,1,14,1,9,top_5,outstanding
"12,230","10,171",8.423,251,13,92,5,47,top_5,outstanding
"12,106","10,171",10.209,754,29,276,8,168,top_5,outstanding
"12,105","10,171",7.891,473,12,158,6,111,top_5,outstanding
"12,104","10,171",23.141,413,9,148,2,102,top_5,outstanding
"12,360","10,171",19.091,512,22,181,3,104,top_5,outstanding
"12,409","10,171",11.355,387,14,124,4,80,top_5,outstanding
"12,087","10,171",9.742,"1,701",46,594,19,377,top_5,outstanding
"12,085","10,171",13.302,688,33,259,6,141,top_5,outstanding
"12,083","10,171",11.587,866,26,304,8,197,top_5,outstanding
"12,082","10,171",7.015,710,25,254,10,166,top_5,outstanding
"12,059","10,171",16.453,572,21,197,4,114,top_5,outstanding
"12,054","10,171",13.106,"1,922",80,660,17,395,top_5,outstanding
"12,084","10,171",10.648,375,14,125,4,80,top_5,outstanding
"12,275","10,171",8.806,165,7,55,3,31,top_5,outstanding
"12,273","10,171",13.427,194,11,69,2,35,top_5,outstanding
"12,345","10,171",16.708,306,8,107,2,69,top_5,outstanding
"12,328","10,171",8.415,154,6,57,3,29,top_5,outstanding
"12,326","10,171",11.382,182,8,65,2,36,top_5,outstanding
"12,049","10,171",12.239,676,26,247,6,151,top_5,outstanding
"12,021","10,171",11.794,"1,130",38,375,12,222,top_5,outstanding
"11,990","10,171",15.389,"1,096",45,381,8,230,top_5,outstanding
"11,986","10,171",8.402,547,18,193,7,122,top_5,outstanding
"11,977","10,171",11.169,995,34,333,10,214,top_5,outstanding
"11,992","10,171",13.412,595,21,209,5,126,top_5,outstanding
"11,968","10,171",13.88,"1,298",47,460,10,304,top_5,outstanding
"11,934","10,171",14.03,"1,676",63,556,14,337,top_5,outstanding
"11,920","10,171",17.787,955,30,326,6,198,top_5,outstanding
"11,905","10,171",8.648,"1,120",33,382,14,249,top_5,outstanding
"11,887","10,171",10.501,"1,615",64,571,17,353,top_5,outstanding
"11,885","10,171",11.905,633,18,207,6,135,top_5,outstanding
"11,621","10,171",13.678,480,20,170,4,100,top_5,outstanding
"11,610","10,171",19.174,"1,050",27,360,6,241,top_5,outstanding
"11,590","10,171",10.519,466,16,158,5,100,top_5,outstanding
"11,586","10,171",9.878,"1,239",39,427,13,289,top_5,outstanding
"11,576","10,171",9.733,858,30,296,10,184,top_5,outstanding
"11,562","10,171",8.089,561,20,198,8,120,top_5,outstanding
"11,552","10,171",8.361,697,20,232,9,155,top_5,outstanding
"11,557","10,171",8.746,226,11,86,3,48,top_5,outstanding
"11,520","10,171",14.039,"1,463",66,506,12,300,top_5,outstanding
"11,518","10,171",13.607,612,23,212,5,132,top_5,outstanding
"11,505","10,171",10.805,"1,205",46,427,12,271,top_5,outstanding
"11,488","10,171",9.512,405,19,149,5,85,top_5,outstanding
"11,327","10,171",15.286,"2,365",80,807,17,520,top_5,outstanding
"11,314","10,171",10.447,547,20,185,7,106,top_5,outstanding
"11,310","10,171",10.472,638,23,227,7,135,top_5,outstanding
"11,311","10,171",13.007,811,35,306,7,173,top_5,outstanding
"11,839","10,171",12.715,"1,228",51,437,11,258,top_5,outstanding
"11,817","10,171",10.029,645,20,226,7,143,top_5,outstanding
"11,786","10,171",8.772,874,31,304,12,182,top_5,outstanding
"11,738","10,171",9.72,"1,745",44,584,19,397,top_5,outstanding
"11,245","10,171",19.64,"1,067",38,379,6,226,top_5,outstanding
"11,269","10,171",10.247,593,21,210,6,139,top_5,outstanding
"11,161","10,171",17.22,"1,093",38,375,7,237,top_5,outstanding
"11,153","10,171",14.683,752,25,249,6,150,top_5,outstanding
"23,604","10,171",8.942,228,7,79,3,48,top_5,outstanding
"12,318","10,171",7.475,33,2,11,1,6,top_5,outstanding
"12,316","10,171",9.707,136,6,48,2,26,top_5,outstanding
"12,243","10,171",12.966,269,12,87,3,48,top_5,outstanding
"12,241","10,171",10.458,157,9,57,3,27,top_5,outstanding
"12,219","10,171",11.515,295,9,96,3,61,top_5,outstanding
"20,057","10,171",3.664,246,4,80,5,61,top_5,outstanding
"12,466","10,171",13.006,560,23,195,5,115,top_5,outstanding
"20,080","10,171",6.463,819,18,262,13,186,top_5,outstanding
"16,007","10,171",14.97,976,44,367,7,231,top_5,outstanding
"16,004","10,171",12.087,"1,342",48,462,13,276,top_5,outstanding
"29,486","10,171",12.208,561,19,200,5,125,top_5,outstanding
"18,475","10,171",14.199,"2,049",80,712,16,443,top_5,outstanding
"16,772","10,171",15.815,"2,497",101,849,18,509,top_5,outstanding
"15,086","10,171",14.566,"2,504",91,876,19,544,top_5,outstanding
