"number_answers_after_best","class","class2","id"
3,top_5_10,outstanding,"28,128"
1,ordinary,ordinary,"14,779"
1,ordinary,ordinary,"17,345"
4,top_5,outstanding,"8,998"
1,ordinary,ordinary,"9,881"
1,ordinary,ordinary,"13,931"
1,ordinary,ordinary,"19,633"
1,ordinary,ordinary,"18,494"
1,top_5,outstanding,"14,860"
1,ordinary,ordinary,"8,871"
7,top_5,outstanding,"15,940"
1,ordinary,ordinary,"19,828"
1,ordinary,ordinary,"11,803"
1,ordinary,ordinary,"28,171"
1,ordinary,ordinary,"20,472"
1,ordinary,ordinary,"11,474"
1,ordinary,ordinary,"15,668"
1,ordinary,ordinary,"9,594"
2,top_5_10,outstanding,"13,546"
1,ordinary,ordinary,"17,457"
1,top_5_10,outstanding,"19,894"
1,ordinary,ordinary,"22,758"
1,ordinary,ordinary,"10,340"
1,ordinary,ordinary,"19,822"
1,ordinary,ordinary,"10,977"
1,ordinary,ordinary,"27,270"
6,top_5,outstanding,"7,123"
1,ordinary,ordinary,"11,975"
1,ordinary,ordinary,"19,869"
5,top_5,outstanding,"14,576"
1,top_5_10,outstanding,"7,570"
1,ordinary,ordinary,"12,214"
1,ordinary,ordinary,"18,252"
1,ordinary,ordinary,"26,984"
1,ordinary,ordinary,"12,290"
1,top_5_10,outstanding,"11,866"
3,top_5,outstanding,"21,612"
1,top_5,outstanding,"26,162"
2,ordinary,ordinary,"18,368"
2,ordinary,ordinary,"16,856"
1,top_5,outstanding,"20,088"
1,ordinary,ordinary,"9,734"
1,ordinary,ordinary,"15,527"
1,top_5,outstanding,"7,835"
1,ordinary,ordinary,"18,194"
1,ordinary,ordinary,"9,520"
1,ordinary,ordinary,"10,731"
1,ordinary,ordinary,"19,990"
1,ordinary,ordinary,"23,592"
8,top_5,outstanding,"11,448"
1,ordinary,ordinary,"20,652"
2,top_5,outstanding,"6,722"
1,top_5_10,outstanding,"9,406"
1,top_5_10,outstanding,"7,030"
1,ordinary,ordinary,"14,524"
10,top_5,outstanding,"7,111"
3,top_5,outstanding,"15,029"
1,ordinary,ordinary,"20,205"
2,ordinary,ordinary,"21,706"
3,top_5,outstanding,"7,943"
1,ordinary,ordinary,"8,193"
1,ordinary,ordinary,"7,536"
1,ordinary,ordinary,"8,544"
1,top_5,outstanding,"7,719"
2,top_5_10,outstanding,"13,273"
5,top_5_10,outstanding,"10,728"
1,ordinary,ordinary,"17,678"
2,top_5,outstanding,"21,626"
1,top_10_15,outstanding,"7,669"
1,ordinary,ordinary,"16,487"
1,ordinary,ordinary,"24,911"
11,top_5,outstanding,"16,394"
1,ordinary,ordinary,"13,054"
1,ordinary,ordinary,"21,750"
6,top_5,outstanding,"14,070"
2,top_5_10,outstanding,"9,145"
1,ordinary,ordinary,"6,843"
1,ordinary,ordinary,"14,319"
2,ordinary,ordinary,"9,357"
1,top_10_15,outstanding,"10,811"
1,ordinary,ordinary,"12,525"
1,ordinary,ordinary,"9,982"
6,top_5_10,outstanding,"10,788"
1,top_5,outstanding,"14,687"
1,ordinary,ordinary,"9,843"
1,top_5_10,outstanding,"10,801"
1,ordinary,ordinary,"7,125"
29,top_5,outstanding,"20,587"
1,ordinary,ordinary,"10,090"
1,top_5,outstanding,"20,608"
1,ordinary,ordinary,"13,189"
1,top_5_10,outstanding,"7,754"
1,ordinary,ordinary,"11,323"
1,ordinary,ordinary,"11,397"
2,top_5,outstanding,"7,082"
1,ordinary,ordinary,"24,841"
1,ordinary,ordinary,"14,090"
1,ordinary,ordinary,"21,341"
2,top_10_15,outstanding,"13,438"
1,ordinary,ordinary,"17,082"
1,ordinary,ordinary,"15,000"
1,ordinary,ordinary,"15,129"
1,top_5,outstanding,"23,713"
1,ordinary,ordinary,"15,897"
2,top_5_10,outstanding,"23,241"
1,top_5,outstanding,"6,893"
1,ordinary,ordinary,"11,187"
1,top_5,outstanding,"14,405"
2,ordinary,ordinary,"15,802"
1,ordinary,ordinary,"24,990"
1,ordinary,ordinary,"27,484"
5,top_5,outstanding,"6,776"
1,ordinary,ordinary,"16,008"
1,top_10_15,outstanding,"24,920"
1,top_5,outstanding,"13,163"
1,ordinary,ordinary,"23,524"
1,top_5,outstanding,"8,711"
1,top_5_10,outstanding,"8,089"
52,top_5,outstanding,"8,774"
1,ordinary,ordinary,"13,392"
2,top_10_15,outstanding,"15,361"
1,ordinary,ordinary,"8,933"
1,ordinary,ordinary,"22,938"
1,ordinary,ordinary,"21,228"
1,ordinary,ordinary,"22,824"
1,ordinary,ordinary,"23,088"
3,top_5,outstanding,"8,124"
6,top_5,outstanding,"8,867"
1,ordinary,ordinary,"7,884"
1,ordinary,ordinary,"15,667"
1,ordinary,ordinary,"9,798"
5,top_5,outstanding,"7,726"
1,top_5,outstanding,"16,967"
2,ordinary,ordinary,"20,737"
2,ordinary,ordinary,"15,530"
1,top_5,outstanding,"6,846"
1,top_5,outstanding,"7,902"
1,ordinary,ordinary,"12,872"
1,top_10_15,outstanding,"25,485"
2,top_5_10,outstanding,"17,188"
1,top_5,outstanding,"9,239"
1,ordinary,ordinary,"10,399"
1,ordinary,ordinary,"16,312"
2,top_5_10,outstanding,"18,878"
3,top_5,outstanding,"12,594"
1,top_5_10,outstanding,"20,140"
1,ordinary,ordinary,"22,748"
3,top_5_10,outstanding,"9,602"
1,top_10_15,outstanding,"6,924"
1,ordinary,ordinary,"13,397"
2,top_5,outstanding,"7,703"
1,top_5,outstanding,"8,512"
1,ordinary,ordinary,"8,240"
1,ordinary,ordinary,"21,265"
2,ordinary,ordinary,"25,422"
1,top_10_15,outstanding,"8,076"
1,ordinary,ordinary,"10,494"
1,ordinary,ordinary,"12,802"
1,ordinary,ordinary,"20,649"
1,top_5_10,outstanding,"15,168"
1,ordinary,ordinary,"15,224"
1,ordinary,ordinary,"18,450"
1,top_10_15,outstanding,"10,711"
2,top_5,outstanding,"11,168"
1,ordinary,ordinary,"22,054"
1,ordinary,ordinary,"8,099"
1,ordinary,ordinary,"20,257"
5,top_5,outstanding,"7,102"
3,top_5_10,outstanding,"7,879"
1,ordinary,ordinary,"14,163"
1,top_5,outstanding,"17,758"
2,top_10_15,outstanding,"8,729"
1,ordinary,ordinary,"10,068"
1,ordinary,ordinary,"16,171"
1,ordinary,ordinary,"21,964"
1,top_5_10,outstanding,"7,270"
3,ordinary,ordinary,"18,243"
1,ordinary,ordinary,"19,898"
3,top_5,outstanding,"19,317"
1,ordinary,ordinary,"8,977"
1,ordinary,ordinary,"11,040"
1,ordinary,ordinary,"24,612"
1,ordinary,ordinary,"25,916"
1,ordinary,ordinary,"10,806"
2,top_10_15,outstanding,"13,059"
1,ordinary,ordinary,"15,393"
1,ordinary,ordinary,"24,749"
1,top_5,outstanding,"7,297"
1,top_5_10,outstanding,"12,096"
1,ordinary,ordinary,"19,245"
1,ordinary,ordinary,"13,466"
1,ordinary,ordinary,"19,721"
1,ordinary,ordinary,"25,101"
1,top_5_10,outstanding,"25,585"
1,ordinary,ordinary,"7,928"
3,ordinary,ordinary,"13,557"
1,ordinary,ordinary,"17,454"
1,ordinary,ordinary,"25,262"
1,ordinary,ordinary,"16,903"
2,top_5,outstanding,"25,936"
1,top_10_15,outstanding,"10,495"
2,top_5,outstanding,"26,149"
1,top_5,outstanding,"11,278"
1,ordinary,ordinary,"19,099"
1,top_5,outstanding,"7,305"
3,top_5,outstanding,"6,740"
1,ordinary,ordinary,"7,473"
2,top_10_15,outstanding,"7,814"
1,top_5_10,outstanding,"10,828"
1,ordinary,ordinary,"17,207"
1,ordinary,ordinary,"26,720"
1,ordinary,ordinary,"9,309"
1,top_5,outstanding,"8,808"
1,top_5_10,outstanding,"11,979"
1,ordinary,ordinary,"20,783"
1,ordinary,ordinary,"8,156"
1,top_5_10,outstanding,"19,260"
1,ordinary,ordinary,"20,602"
1,ordinary,ordinary,"13,558"
1,ordinary,ordinary,"21,352"
1,ordinary,ordinary,"21,418"
2,ordinary,ordinary,"21,284"
2,ordinary,ordinary,"18,339"
1,ordinary,ordinary,"22,340"
1,top_5,outstanding,"7,439"
1,ordinary,ordinary,"9,722"
4,top_5,outstanding,"7,232"
2,ordinary,ordinary,"20,416"
1,top_5_10,outstanding,"23,344"
1,ordinary,ordinary,"15,077"
4,top_5,outstanding,"22,731"
1,ordinary,ordinary,"27,141"
1,top_5,outstanding,"6,753"
1,top_5_10,outstanding,"7,836"
2,ordinary,ordinary,"16,819"
1,ordinary,ordinary,"8,850"
1,ordinary,ordinary,"19,140"
2,top_5_10,outstanding,"22,207"
1,top_5,outstanding,"7,216"
2,top_5,outstanding,"7,762"
1,ordinary,ordinary,"23,348"
1,top_10_15,outstanding,"12,181"
1,top_5_10,outstanding,"8,131"
1,ordinary,ordinary,"11,302"
1,ordinary,ordinary,"10,650"
1,ordinary,ordinary,"13,873"
1,ordinary,ordinary,"17,898"
2,top_5,outstanding,"7,386"
2,top_5_10,outstanding,"11,853"
1,top_5,outstanding,"7,591"
1,ordinary,ordinary,"10,531"
3,top_5,outstanding,"10,682"
3,ordinary,ordinary,"21,114"
1,ordinary,ordinary,"22,629"
1,ordinary,ordinary,"7,511"
2,ordinary,ordinary,"13,957"
1,ordinary,ordinary,"28,696"
1,ordinary,ordinary,"8,452"
1,top_5,outstanding,"9,640"
3,top_5,outstanding,"10,660"
1,ordinary,ordinary,"25,276"
1,ordinary,ordinary,"27,435"
2,top_5,outstanding,"11,298"
3,top_5,outstanding,"6,764"
1,ordinary,ordinary,"9,038"
1,ordinary,ordinary,"9,210"
1,ordinary,ordinary,"13,517"
1,ordinary,ordinary,"19,072"
6,top_5,outstanding,"6,768"
1,top_5,outstanding,"13,855"
1,top_5,outstanding,"6,910"
1,ordinary,ordinary,"9,715"
1,top_5,outstanding,"23,023"
1,ordinary,ordinary,"23,590"
1,ordinary,ordinary,"11,791"
1,ordinary,ordinary,"8,955"
1,ordinary,ordinary,"11,454"
1,ordinary,ordinary,"10,765"
1,ordinary,ordinary,"14,049"
1,ordinary,ordinary,"14,932"
14,top_5,outstanding,"9,932"
1,ordinary,ordinary,"22,549"
1,ordinary,ordinary,"7,613"
1,ordinary,ordinary,"18,144"
1,top_10_15,outstanding,"20,389"
8,top_5,outstanding,"6,781"
1,ordinary,ordinary,"6,920"
1,top_10_15,outstanding,"7,702"
4,top_5,outstanding,"12,115"
2,top_5,outstanding,"17,339"
3,top_5,outstanding,"7,158"
1,ordinary,ordinary,"14,991"
1,top_5_10,outstanding,"7,763"
1,ordinary,ordinary,"19,596"
1,ordinary,ordinary,"23,321"
1,ordinary,ordinary,"27,561"
26,top_5,outstanding,"9,065"
2,top_5_10,outstanding,"17,493"
1,ordinary,ordinary,"17,282"
1,ordinary,ordinary,"10,987"
1,top_5_10,outstanding,"7,848"
4,top_5,outstanding,"21,073"
1,top_5,outstanding,"11,809"
4,top_5,outstanding,"24,579"
1,ordinary,ordinary,"12,398"
1,top_5,outstanding,"10,610"
5,top_5,outstanding,"6,808"
1,top_5,outstanding,"10,888"
1,top_5,outstanding,"10,957"
1,ordinary,ordinary,"26,368"
2,top_5,outstanding,"6,892"
1,top_5_10,outstanding,"21,680"
1,top_5,outstanding,"6,876"
1,ordinary,ordinary,"17,737"
1,ordinary,ordinary,"20,871"
1,ordinary,ordinary,"17,865"
1,ordinary,ordinary,"11,324"
1,ordinary,ordinary,"16,067"
1,ordinary,ordinary,"23,844"
3,top_5,outstanding,"6,829"
1,ordinary,ordinary,"14,566"
1,top_5_10,outstanding,"11,496"
1,ordinary,ordinary,"25,536"
1,top_5_10,outstanding,"15,858"
1,ordinary,ordinary,"26,932"
2,ordinary,ordinary,"10,898"
1,top_5_10,outstanding,"14,374"
1,top_5,outstanding,"10,353"
1,ordinary,ordinary,"7,202"
3,top_5,outstanding,"8,231"
1,ordinary,ordinary,"22,193"
3,top_5_10,outstanding,"25,969"
1,ordinary,ordinary,"10,003"
1,top_10_15,outstanding,"26,121"
3,top_5,outstanding,"8,527"
1,top_5,outstanding,"10,737"
1,ordinary,ordinary,"28,791"
1,ordinary,ordinary,"7,752"
1,top_5,outstanding,"10,659"
1,ordinary,ordinary,"25,633"
1,ordinary,ordinary,"11,414"
1,top_5,outstanding,"10,663"
1,top_10_15,outstanding,"14,380"
1,top_5,outstanding,"7,446"
1,ordinary,ordinary,"15,788"
1,ordinary,ordinary,"15,754"
1,top_5_10,outstanding,"13,004"
1,ordinary,ordinary,"19,371"
1,ordinary,ordinary,"19,348"
2,top_5,outstanding,"11,108"
1,top_10_15,outstanding,"11,969"
1,ordinary,ordinary,"13,406"
1,ordinary,ordinary,"26,395"
1,top_5_10,outstanding,"9,910"
1,ordinary,ordinary,"23,068"
3,ordinary,ordinary,"16,877"
9,top_5,outstanding,"14,879"
2,ordinary,ordinary,"9,867"
1,top_10_15,outstanding,"11,776"
1,ordinary,ordinary,"12,555"
1,top_5,outstanding,"7,184"
1,top_10_15,outstanding,"7,490"
4,top_5,outstanding,"9,437"
1,top_5_10,outstanding,"9,393"
1,ordinary,ordinary,"10,364"
2,top_5,outstanding,"15,964"
1,top_5_10,outstanding,"8,962"
1,ordinary,ordinary,"12,032"
1,ordinary,ordinary,"25,066"
1,ordinary,ordinary,"16,326"
1,top_5,outstanding,"15,935"
1,ordinary,ordinary,"20,002"
2,top_5,outstanding,"14,604"
1,ordinary,ordinary,"8,655"
1,ordinary,ordinary,"9,168"
1,ordinary,ordinary,"9,999"
1,ordinary,ordinary,"22,644"
1,ordinary,ordinary,"15,072"
1,ordinary,ordinary,"17,840"
1,ordinary,ordinary,"25,717"
1,ordinary,ordinary,"21,921"
1,ordinary,ordinary,"13,458"
4,top_5,outstanding,"6,906"
1,ordinary,ordinary,"26,360"
1,top_5_10,outstanding,"11,507"
1,ordinary,ordinary,"10,839"
1,ordinary,ordinary,"8,482"
3,top_5_10,outstanding,"10,967"
1,top_5,outstanding,"7,044"
1,top_5_10,outstanding,"7,444"
1,ordinary,ordinary,"8,483"
1,top_5_10,outstanding,"11,350"
4,top_5,outstanding,"14,852"
1,ordinary,ordinary,"17,934"
1,top_5,outstanding,"13,575"
3,top_10_15,outstanding,"9,344"
1,ordinary,ordinary,"23,670"
1,ordinary,ordinary,"19,281"
1,ordinary,ordinary,"20,211"
1,ordinary,ordinary,"18,180"
3,top_5_10,outstanding,"7,241"
1,ordinary,ordinary,"9,864"
1,ordinary,ordinary,"7,533"
3,ordinary,ordinary,"8,258"
1,ordinary,ordinary,"18,230"
1,ordinary,ordinary,"10,500"
11,top_5,outstanding,"17,620"
1,top_10_15,outstanding,"9,555"
1,ordinary,ordinary,"11,097"
10,top_5,outstanding,"15,596"
14,top_5,outstanding,"10,171"
1,ordinary,ordinary,"24,720"
2,top_5,outstanding,"10,965"
30,top_5,outstanding,"19,500"
4,top_5_10,outstanding,"23,711"
1,ordinary,ordinary,"14,240"
1,top_5,outstanding,"13,129"
6,top_5,outstanding,"9,387"
1,ordinary,ordinary,"8,716"
1,ordinary,ordinary,"13,874"
1,ordinary,ordinary,"21,060"
1,ordinary,ordinary,"17,278"
1,ordinary,ordinary,"9,286"
2,top_5,outstanding,"9,410"
1,ordinary,ordinary,"19,937"
3,top_5,outstanding,"6,938"
1,top_5_10,outstanding,"10,127"
1,top_5_10,outstanding,"22,118"
2,top_5,outstanding,"6,838"
2,top_5_10,outstanding,"16,139"
1,ordinary,ordinary,"18,941"
1,ordinary,ordinary,"25,080"
1,ordinary,ordinary,"20,021"
2,top_5,outstanding,"23,106"
9,top_5,outstanding,"7,193"
3,ordinary,ordinary,"14,114"
1,ordinary,ordinary,"20,126"
1,ordinary,ordinary,"11,784"
1,ordinary,ordinary,"8,367"
1,ordinary,ordinary,"20,705"
1,ordinary,ordinary,"19,482"
5,top_10_15,outstanding,"9,631"
1,ordinary,ordinary,"11,183"
3,top_5,outstanding,"18,898"
1,top_5,outstanding,"8,771"
1,ordinary,ordinary,"17,215"
1,ordinary,ordinary,"16,233"
1,top_5,outstanding,"9,032"
1,top_5_10,outstanding,"16,440"
1,ordinary,ordinary,"18,967"
1,ordinary,ordinary,"8,988"
1,top_5_10,outstanding,"14,995"
6,top_5,outstanding,"7,198"
1,ordinary,ordinary,"25,078"
1,ordinary,ordinary,"22,401"
1,ordinary,ordinary,"9,446"
1,ordinary,ordinary,"10,452"
10,top_5,outstanding,"12,161"
1,ordinary,ordinary,"10,773"
1,ordinary,ordinary,"18,209"
1,ordinary,ordinary,"14,014"
1,top_10_15,outstanding,"21,498"
1,top_5,outstanding,"14,577"
1,top_10_15,outstanding,"7,359"
1,ordinary,ordinary,"10,986"
1,ordinary,ordinary,"23,921"
1,ordinary,ordinary,"24,953"
2,top_5,outstanding,"8,141"
4,ordinary,ordinary,"9,842"
1,ordinary,ordinary,"11,982"
1,ordinary,ordinary,"17,465"
3,top_5_10,outstanding,"15,801"
1,ordinary,ordinary,"23,150"
1,ordinary,ordinary,"8,016"
2,top_5,outstanding,"14,529"
1,top_10_15,outstanding,"8,601"
1,top_10_15,outstanding,"7,166"
1,top_10_15,outstanding,"7,234"
1,ordinary,ordinary,"13,685"
1,top_5_10,outstanding,"21,692"
1,ordinary,ordinary,"9,078"
1,ordinary,ordinary,"19,975"
1,ordinary,ordinary,"7,629"
1,ordinary,ordinary,"8,528"
2,top_5,outstanding,"14,057"
5,top_5,outstanding,"17,472"
2,top_5,outstanding,"17,732"
1,top_5_10,outstanding,"18,757"
1,ordinary,ordinary,"20,481"
35,top_5,outstanding,"13,299"
1,ordinary,ordinary,"25,384"
1,ordinary,ordinary,"28,384"
1,ordinary,ordinary,"11,927"
1,ordinary,ordinary,"9,113"
1,top_5,outstanding,"6,925"
11,top_5,outstanding,"7,565"
6,top_5,outstanding,"23,877"
1,ordinary,ordinary,"25,671"
1,ordinary,ordinary,"9,443"
1,ordinary,ordinary,"13,384"
1,ordinary,ordinary,"25,387"
17,top_5,outstanding,"8,135"
1,ordinary,ordinary,"18,417"
1,top_5_10,outstanding,"10,136"
1,ordinary,ordinary,"7,289"
1,ordinary,ordinary,"12,735"
1,ordinary,ordinary,"21,365"
3,top_5,outstanding,"11,273"
1,top_5_10,outstanding,"11,326"
1,top_5,outstanding,"11,518"
1,ordinary,ordinary,"17,819"
12,top_5,outstanding,"13,693"
3,top_5,outstanding,"14,785"
1,top_5_10,outstanding,"12,687"
2,top_5,outstanding,"19,912"
1,ordinary,ordinary,"22,090"
1,ordinary,ordinary,"7,546"
1,ordinary,ordinary,"12,304"
2,top_5,outstanding,"6,755"
2,top_5,outstanding,"13,002"
1,ordinary,ordinary,"9,002"
1,top_5,outstanding,"18,336"
1,top_10_15,outstanding,"10,734"
1,ordinary,ordinary,"8,727"
1,ordinary,ordinary,"12,765"
3,top_5_10,outstanding,"7,028"
13,top_5,outstanding,"8,423"
1,ordinary,ordinary,"26,168"
1,ordinary,ordinary,"9,913"
1,ordinary,ordinary,"7,755"
1,ordinary,ordinary,"14,795"
1,ordinary,ordinary,"28,312"
1,top_5,outstanding,"7,942"
1,ordinary,ordinary,"12,599"
1,top_10_15,outstanding,"21,866"
1,ordinary,ordinary,"28,472"
2,top_10_15,outstanding,"12,159"
2,top_5_10,outstanding,"13,035"
2,ordinary,ordinary,"14,565"
1,top_5_10,outstanding,"6,810"
1,ordinary,ordinary,"27,420"
1,top_5_10,outstanding,"14,054"
1,top_5,outstanding,"9,013"
1,ordinary,ordinary,"15,847"
1,ordinary,ordinary,"11,873"
2,ordinary,ordinary,"15,875"
3,ordinary,ordinary,"16,881"
1,top_10_15,outstanding,"19,520"
1,ordinary,ordinary,"14,071"
1,top_5_10,outstanding,"18,938"
1,ordinary,ordinary,"27,591"
1,ordinary,ordinary,"12,172"
1,ordinary,ordinary,"24,272"
1,ordinary,ordinary,"12,761"
1,ordinary,ordinary,"12,842"
1,ordinary,ordinary,"24,748"
1,ordinary,ordinary,"10,279"
1,ordinary,ordinary,"10,937"
5,top_5,outstanding,"14,001"
1,ordinary,ordinary,"24,395"
1,top_5_10,outstanding,"19,969"
1,ordinary,ordinary,"27,854"
7,top_5,outstanding,"6,765"
2,ordinary,ordinary,"12,992"
1,ordinary,ordinary,"18,364"
1,ordinary,ordinary,"8,164"
1,top_5,outstanding,"18,008"
4,top_5,outstanding,"7,416"
1,ordinary,ordinary,"11,379"
1,top_5_10,outstanding,"17,276"
1,ordinary,ordinary,"7,108"
1,ordinary,ordinary,"9,888"
1,ordinary,ordinary,"25,307"
1,ordinary,ordinary,"21,832"
1,top_5,outstanding,"6,791"
1,top_5_10,outstanding,"6,777"
1,ordinary,ordinary,"11,368"
1,ordinary,ordinary,"28,659"
6,top_5_10,outstanding,"22,761"
1,ordinary,ordinary,"7,455"
4,top_5,outstanding,"9,479"
1,ordinary,ordinary,"10,110"
1,ordinary,ordinary,"13,852"
1,ordinary,ordinary,"25,341"
6,top_5,outstanding,"9,261"
1,ordinary,ordinary,"12,416"
1,top_5_10,outstanding,"16,536"
3,top_5,outstanding,"9,162"
2,top_5_10,outstanding,"14,328"
1,top_5,outstanding,"20,074"
1,top_5_10,outstanding,"13,750"
1,top_5_10,outstanding,"14,254"
1,ordinary,ordinary,"28,125"
1,ordinary,ordinary,"20,984"
3,ordinary,ordinary,"20,127"
1,top_5,outstanding,"26,185"
1,ordinary,ordinary,"21,121"
1,ordinary,ordinary,"28,434"
1,ordinary,ordinary,"24,363"
1,top_5_10,outstanding,"6,726"
1,ordinary,ordinary,"12,209"
1,ordinary,ordinary,"8,983"
1,top_5_10,outstanding,"10,423"
1,ordinary,ordinary,"20,382"
3,top_5,outstanding,"12,537"
6,top_5,outstanding,"14,034"
1,ordinary,ordinary,"14,876"
1,top_10_15,outstanding,"12,918"
2,ordinary,ordinary,"15,977"
4,ordinary,ordinary,"10,188"
1,ordinary,ordinary,"22,352"
1,ordinary,ordinary,"19,118"
1,ordinary,ordinary,"27,206"
1,top_5_10,outstanding,"13,905"
1,ordinary,ordinary,"23,168"
1,top_5,outstanding,"6,963"
3,top_5,outstanding,"8,533"
2,top_5,outstanding,"15,822"
1,ordinary,ordinary,"17,913"
1,top_5,outstanding,"7,374"
1,top_5,outstanding,"19,754"
1,ordinary,ordinary,"28,043"
