"number_answers_after_best","class","class2","id"
53,top_5,outstanding,"32,257"
1,ordinary,ordinary,"32,514"
1,top_5_10,outstanding,"43,526"
1,ordinary,ordinary,"44,313"
1,ordinary,ordinary,"54,316"
1,top_5,outstanding,"29,162"
1,ordinary,ordinary,"41,120"
1,ordinary,ordinary,"32,790"
2,top_5,outstanding,"32,648"
1,ordinary,ordinary,"45,304"
1,ordinary,ordinary,"37,549"
1,ordinary,ordinary,"36,143"
5,top_5,outstanding,"48,893"
9,top_5,outstanding,"30,193"
1,ordinary,ordinary,"35,978"
1,ordinary,ordinary,"52,564"
2,top_5,outstanding,"29,152"
7,top_5,outstanding,"36,724"
1,ordinary,ordinary,"44,778"
1,top_5,outstanding,"28,862"
1,ordinary,ordinary,"42,469"
1,ordinary,ordinary,"51,195"
1,top_5,outstanding,"32,368"
1,ordinary,ordinary,"42,567"
1,ordinary,ordinary,"39,452"
1,ordinary,ordinary,"55,001"
1,ordinary,ordinary,"42,474"
1,ordinary,ordinary,"31,277"
5,top_5,outstanding,"29,104"
1,ordinary,ordinary,"31,894"
1,ordinary,ordinary,"32,541"
1,top_10_15,outstanding,"36,081"
1,ordinary,ordinary,"52,779"
5,top_5,outstanding,"45,522"
1,top_5,outstanding,"42,374"
1,top_5,outstanding,"32,869"
2,ordinary,ordinary,"46,149"
1,ordinary,ordinary,"35,827"
7,top_5_10,outstanding,"37,309"
1,ordinary,ordinary,"49,971"
1,top_5,outstanding,"29,442"
1,top_5,outstanding,"40,584"
1,ordinary,ordinary,"33,918"
6,top_5_10,outstanding,"50,679"
2,top_5,outstanding,"51,911"
1,ordinary,ordinary,"41,385"
1,top_10_15,outstanding,"33,159"
1,ordinary,ordinary,"41,018"
1,ordinary,ordinary,"41,795"
6,top_5,outstanding,"40,299"
1,top_5_10,outstanding,"35,457"
1,ordinary,ordinary,"41,767"
3,top_5,outstanding,"31,417"
3,top_5,outstanding,"31,178"
1,ordinary,ordinary,"50,900"
1,ordinary,ordinary,"48,700"
3,top_5,outstanding,"49,122"
1,ordinary,ordinary,"35,714"
2,top_10_15,outstanding,"45,202"
1,ordinary,ordinary,"40,334"
1,ordinary,ordinary,"43,207"
1,top_5,outstanding,"54,419"
1,top_5_10,outstanding,"30,551"
1,ordinary,ordinary,"31,808"
1,ordinary,ordinary,"34,681"
1,ordinary,ordinary,"43,818"
4,top_5,outstanding,"30,804"
1,ordinary,ordinary,"36,746"
1,ordinary,ordinary,"35,785"
1,ordinary,ordinary,"50,925"
4,top_5,outstanding,"33,091"
1,ordinary,ordinary,"35,402"
1,ordinary,ordinary,"36,781"
2,top_5,outstanding,"31,230"
1,ordinary,ordinary,"34,055"
1,ordinary,ordinary,"32,117"
1,ordinary,ordinary,"36,512"
1,ordinary,ordinary,"40,688"
1,top_5,outstanding,"41,885"
1,ordinary,ordinary,"47,434"
2,top_10_15,outstanding,"32,686"
1,top_5_10,outstanding,"38,021"
1,ordinary,ordinary,"46,314"
3,top_5_10,outstanding,"29,097"
1,ordinary,ordinary,"44,823"
1,ordinary,ordinary,"32,810"
1,ordinary,ordinary,"32,992"
1,ordinary,ordinary,"38,982"
1,ordinary,ordinary,"44,413"
1,ordinary,ordinary,"50,205"
1,ordinary,ordinary,"55,697"
1,ordinary,ordinary,"34,543"
1,ordinary,ordinary,"55,801"
1,ordinary,ordinary,"35,655"
1,ordinary,ordinary,"49,218"
1,top_5,outstanding,"38,579"
1,ordinary,ordinary,"51,211"
1,ordinary,ordinary,"32,974"
1,ordinary,ordinary,"41,748"
1,ordinary,ordinary,"46,508"
3,top_5,outstanding,"33,311"
1,ordinary,ordinary,"41,470"
1,ordinary,ordinary,"43,870"
1,ordinary,ordinary,"44,418"
1,ordinary,ordinary,"42,129"
2,top_5,outstanding,"30,440"
1,top_5,outstanding,"32,883"
1,top_5,outstanding,"34,445"
1,ordinary,ordinary,"41,119"
1,top_5_10,outstanding,"30,113"
1,ordinary,ordinary,"32,867"
1,ordinary,ordinary,"46,977"
3,top_5,outstanding,"30,701"
1,ordinary,ordinary,"39,948"
1,top_10_15,outstanding,"37,539"
1,ordinary,ordinary,"45,234"
1,ordinary,ordinary,"31,903"
2,top_5_10,outstanding,"47,215"
1,ordinary,ordinary,"39,126"
1,ordinary,ordinary,"50,617"
1,top_5,outstanding,"29,151"
3,top_5,outstanding,"32,142"
1,ordinary,ordinary,"41,572"
1,ordinary,ordinary,"37,538"
1,ordinary,ordinary,"54,615"
1,ordinary,ordinary,"34,714"
1,ordinary,ordinary,"47,211"
4,top_5,outstanding,"35,976"
1,ordinary,ordinary,"39,747"
1,ordinary,ordinary,"49,498"
1,ordinary,ordinary,"32,690"
1,ordinary,ordinary,"44,301"
1,top_5,outstanding,"55,608"
2,ordinary,ordinary,"35,261"
1,ordinary,ordinary,"38,765"
1,top_5,outstanding,"38,470"
2,ordinary,ordinary,"46,489"
1,top_5,outstanding,"40,630"
1,ordinary,ordinary,"52,872"
1,ordinary,ordinary,"47,157"
2,top_5,outstanding,"35,429"
4,ordinary,ordinary,"32,694"
1,ordinary,ordinary,"47,738"
1,ordinary,ordinary,"33,858"
1,ordinary,ordinary,"51,325"
11,top_5,outstanding,"52,237"
1,top_5_10,outstanding,"37,210"
1,ordinary,ordinary,"47,990"
1,ordinary,ordinary,"33,276"
4,top_5,outstanding,"39,366"
1,ordinary,ordinary,"33,975"
1,ordinary,ordinary,"43,297"
1,ordinary,ordinary,"55,246"
1,top_5_10,outstanding,"32,707"
1,top_10_15,outstanding,"34,338"
11,top_5,outstanding,"28,971"
1,top_5_10,outstanding,"37,219"
1,ordinary,ordinary,"50,417"
5,top_5,outstanding,"38,398"
1,ordinary,ordinary,"42,915"
1,ordinary,ordinary,"37,423"
6,top_5_10,outstanding,"37,905"
2,ordinary,ordinary,"47,718"
1,ordinary,ordinary,"36,223"
1,ordinary,ordinary,"49,823"
1,top_5_10,outstanding,"29,821"
1,top_5,outstanding,"50,737"
1,top_5,outstanding,"29,044"
3,top_5,outstanding,"32,759"
1,ordinary,ordinary,"41,720"
1,ordinary,ordinary,"30,939"
1,ordinary,ordinary,"34,840"
1,ordinary,ordinary,"44,834"
1,top_10_15,outstanding,"29,748"
1,top_10_15,outstanding,"46,591"
3,top_5,outstanding,"52,366"
4,top_5_10,outstanding,"30,966"
1,ordinary,ordinary,"37,697"
1,ordinary,ordinary,"43,952"
1,ordinary,ordinary,"32,551"
1,top_5_10,outstanding,"31,581"
1,ordinary,ordinary,"36,672"
1,ordinary,ordinary,"54,441"
2,top_5,outstanding,"33,067"
1,top_5,outstanding,"29,740"
1,ordinary,ordinary,"55,932"
1,ordinary,ordinary,"30,907"
1,ordinary,ordinary,"44,126"
1,ordinary,ordinary,"39,671"
1,ordinary,ordinary,"44,671"
1,ordinary,ordinary,"52,050"
1,ordinary,ordinary,"41,946"
1,top_5,outstanding,"30,636"
2,ordinary,ordinary,"44,018"
2,top_10_15,outstanding,"45,162"
3,top_5,outstanding,"29,582"
1,ordinary,ordinary,"32,277"
11,top_5,outstanding,"38,649"
1,ordinary,ordinary,"52,965"
10,top_5,outstanding,"29,389"
1,top_5,outstanding,"36,636"
1,ordinary,ordinary,"43,274"
1,ordinary,ordinary,"47,993"
1,top_5_10,outstanding,"38,444"
1,ordinary,ordinary,"49,462"
1,ordinary,ordinary,"42,973"
1,ordinary,ordinary,"53,045"
17,top_5,outstanding,"29,055"
1,ordinary,ordinary,"41,420"
1,top_10_15,outstanding,"49,518"
1,ordinary,ordinary,"52,845"
1,ordinary,ordinary,"53,588"
1,ordinary,ordinary,"38,136"
1,top_5,outstanding,"55,719"
33,top_5,outstanding,"36,060"
1,ordinary,ordinary,"48,934"
1,ordinary,ordinary,"45,642"
4,top_5,outstanding,"33,927"
1,top_10_15,outstanding,"37,327"
1,ordinary,ordinary,"40,776"
1,ordinary,ordinary,"41,437"
1,ordinary,ordinary,"54,230"
1,ordinary,ordinary,"37,271"
1,ordinary,ordinary,"35,922"
1,ordinary,ordinary,"36,417"
1,top_5,outstanding,"43,309"
1,ordinary,ordinary,"33,446"
1,ordinary,ordinary,"55,737"
1,ordinary,ordinary,"32,620"
10,top_5,outstanding,"30,181"
1,top_5_10,outstanding,"35,342"
2,top_5_10,outstanding,"53,195"
1,ordinary,ordinary,"33,131"
1,ordinary,ordinary,"34,336"
1,ordinary,ordinary,"42,713"
1,ordinary,ordinary,"50,305"
1,ordinary,ordinary,"55,924"
1,ordinary,ordinary,"42,923"
1,ordinary,ordinary,"39,422"
1,ordinary,ordinary,"48,673"
2,top_5,outstanding,"28,827"
1,top_5_10,outstanding,"34,730"
1,ordinary,ordinary,"44,133"
1,ordinary,ordinary,"55,642"
1,ordinary,ordinary,"36,165"
2,top_5,outstanding,"28,795"
1,ordinary,ordinary,"34,997"
2,top_5,outstanding,"28,924"
1,ordinary,ordinary,"32,695"
1,ordinary,ordinary,"45,231"
1,ordinary,ordinary,"43,546"
1,ordinary,ordinary,"48,368"
1,top_5,outstanding,"40,417"
1,top_10_15,outstanding,"40,102"
1,ordinary,ordinary,"45,040"
1,top_5,outstanding,"28,894"
1,ordinary,ordinary,"32,849"
1,top_5_10,outstanding,"34,763"
2,top_10_15,outstanding,"39,989"
1,top_10_15,outstanding,"41,640"
1,ordinary,ordinary,"42,058"
1,ordinary,ordinary,"44,815"
1,ordinary,ordinary,"32,748"
6,top_5,outstanding,"33,834"
2,top_5,outstanding,"39,024"
1,ordinary,ordinary,"40,038"
1,ordinary,ordinary,"33,353"
1,top_5,outstanding,"35,512"
2,ordinary,ordinary,"46,886"
3,top_5,outstanding,"35,161"
1,ordinary,ordinary,"52,936"
1,ordinary,ordinary,"40,097"
1,ordinary,ordinary,"46,415"
2,top_5,outstanding,"35,531"
1,ordinary,ordinary,"29,999"
1,ordinary,ordinary,"31,240"
1,ordinary,ordinary,"44,047"
1,ordinary,ordinary,"30,316"
5,top_5,outstanding,"37,811"
8,top_5,outstanding,"41,191"
1,top_5_10,outstanding,"32,750"
1,ordinary,ordinary,"34,827"
1,ordinary,ordinary,"43,269"
1,top_5_10,outstanding,"40,157"
1,top_5,outstanding,"44,841"
1,top_5,outstanding,"29,502"
1,ordinary,ordinary,"42,766"
1,ordinary,ordinary,"48,341"
2,top_5,outstanding,"33,313"
1,top_5,outstanding,"34,713"
1,ordinary,ordinary,"46,369"
1,ordinary,ordinary,"48,621"
3,top_5_10,outstanding,"39,886"
1,ordinary,ordinary,"49,106"
1,top_5_10,outstanding,"37,789"
3,top_5,outstanding,"50,097"
1,ordinary,ordinary,"55,123"
1,ordinary,ordinary,"44,700"
1,ordinary,ordinary,"35,868"
1,ordinary,ordinary,"54,700"
3,top_5,outstanding,"29,132"
1,ordinary,ordinary,"31,078"
9,top_5,outstanding,"34,465"
1,ordinary,ordinary,"46,097"
3,top_5,outstanding,"31,801"
1,ordinary,ordinary,"54,569"
1,ordinary,ordinary,"35,042"
1,ordinary,ordinary,"40,602"
1,top_5,outstanding,"41,279"
1,ordinary,ordinary,"45,795"
1,ordinary,ordinary,"47,214"
1,ordinary,ordinary,"30,714"
3,ordinary,ordinary,"43,893"
1,ordinary,ordinary,"46,911"
1,top_5,outstanding,"44,664"
1,ordinary,ordinary,"32,087"
1,ordinary,ordinary,"39,597"
1,ordinary,ordinary,"32,088"
1,top_5_10,outstanding,"29,458"
5,top_5,outstanding,"29,553"
1,ordinary,ordinary,"33,427"
1,ordinary,ordinary,"38,464"
1,top_5_10,outstanding,"35,246"
1,ordinary,ordinary,"45,731"
12,top_5,outstanding,"37,517"
2,top_5_10,outstanding,"45,119"
3,top_5,outstanding,"35,517"
5,top_5,outstanding,"35,416"
1,ordinary,ordinary,"45,020"
1,top_5,outstanding,"50,084"
1,ordinary,ordinary,"34,186"
1,ordinary,ordinary,"48,241"
1,top_5,outstanding,"28,799"
1,ordinary,ordinary,"37,391"
2,ordinary,ordinary,"32,224"
1,ordinary,ordinary,"42,200"
1,ordinary,ordinary,"39,050"
1,ordinary,ordinary,"46,903"
1,ordinary,ordinary,"51,765"
2,top_5,outstanding,"52,748"
1,ordinary,ordinary,"45,441"
6,top_5,outstanding,"30,850"
2,ordinary,ordinary,"38,317"
1,ordinary,ordinary,"31,742"
1,ordinary,ordinary,"45,658"
1,top_10_15,outstanding,"33,304"
1,ordinary,ordinary,"36,024"
1,ordinary,ordinary,"47,276"
1,ordinary,ordinary,"36,972"
1,ordinary,ordinary,"48,275"
1,ordinary,ordinary,"52,072"
1,ordinary,ordinary,"31,312"
1,top_10_15,outstanding,"40,000"
2,top_5,outstanding,"49,335"
2,top_10_15,outstanding,"42,016"
1,ordinary,ordinary,"39,296"
1,ordinary,ordinary,"44,931"
1,ordinary,ordinary,"52,472"
1,top_10_15,outstanding,"41,821"
1,top_5_10,outstanding,"35,998"
1,top_5,outstanding,"37,343"
1,ordinary,ordinary,"41,780"
1,top_5,outstanding,"28,931"
1,ordinary,ordinary,"36,650"
1,ordinary,ordinary,"34,514"
28,top_5,outstanding,"35,391"
1,ordinary,ordinary,"30,377"
1,ordinary,ordinary,"36,639"
1,ordinary,ordinary,"51,228"
6,top_5,outstanding,"32,502"
1,ordinary,ordinary,"44,423"
1,top_5_10,outstanding,"29,902"
2,top_5,outstanding,"28,920"
4,top_5,outstanding,"29,157"
1,ordinary,ordinary,"49,451"
46,top_5,outstanding,"29,176"
1,top_5_10,outstanding,"30,271"
1,ordinary,ordinary,"31,992"
1,ordinary,ordinary,"39,407"
1,ordinary,ordinary,"48,960"
9,top_5,outstanding,"29,219"
1,ordinary,ordinary,"34,723"
1,top_5,outstanding,"38,438"
1,ordinary,ordinary,"39,724"
1,ordinary,ordinary,"55,047"
1,ordinary,ordinary,"33,038"
2,ordinary,ordinary,"48,985"
1,ordinary,ordinary,"43,798"
1,ordinary,ordinary,"44,970"
1,ordinary,ordinary,"54,088"
1,ordinary,ordinary,"30,848"
2,top_5,outstanding,"31,213"
2,top_5_10,outstanding,"32,192"
1,ordinary,ordinary,"34,849"
1,ordinary,ordinary,"37,299"
1,ordinary,ordinary,"32,334"
1,ordinary,ordinary,"54,767"
1,ordinary,ordinary,"35,715"
1,ordinary,ordinary,"44,537"
2,top_10_15,outstanding,"44,082"
1,ordinary,ordinary,"53,947"
1,top_5,outstanding,"45,351"
1,top_5_10,outstanding,"31,682"
1,ordinary,ordinary,"42,440"
12,top_5,outstanding,"33,696"
1,ordinary,ordinary,"40,852"
4,top_5,outstanding,"48,307"
1,top_5,outstanding,"32,008"
2,top_5_10,outstanding,"34,710"
1,top_10_15,outstanding,"44,471"
1,ordinary,ordinary,"46,502"
1,ordinary,ordinary,"39,715"
1,ordinary,ordinary,"49,848"
1,ordinary,ordinary,"42,677"
1,top_5_10,outstanding,"45,343"
1,ordinary,ordinary,"39,680"
1,ordinary,ordinary,"35,445"
1,ordinary,ordinary,"37,640"
1,ordinary,ordinary,"41,407"
1,ordinary,ordinary,"51,846"
1,top_10_15,outstanding,"30,668"
1,top_5,outstanding,"33,113"
2,top_5,outstanding,"42,438"
1,ordinary,ordinary,"45,244"
1,ordinary,ordinary,"32,987"
1,ordinary,ordinary,"42,997"
1,ordinary,ordinary,"50,188"
1,ordinary,ordinary,"33,471"
1,top_10_15,outstanding,"35,614"
3,top_5,outstanding,"42,055"
40,top_5,outstanding,"29,235"
1,ordinary,ordinary,"33,426"
1,ordinary,ordinary,"32,149"
1,ordinary,ordinary,"31,760"
1,top_10_15,outstanding,"38,799"
1,ordinary,ordinary,"52,555"
1,ordinary,ordinary,"41,414"
1,ordinary,ordinary,"44,210"
1,ordinary,ordinary,"38,927"
1,ordinary,ordinary,"55,727"
1,ordinary,ordinary,"44,046"
1,ordinary,ordinary,"39,977"
1,ordinary,ordinary,"54,707"
1,ordinary,ordinary,"45,468"
1,ordinary,ordinary,"35,141"
1,ordinary,ordinary,"29,358"
1,ordinary,ordinary,"32,774"
2,top_5,outstanding,"28,892"
5,top_5,outstanding,"38,973"
1,ordinary,ordinary,"41,863"
1,ordinary,ordinary,"43,120"
1,top_5_10,outstanding,"31,076"
1,ordinary,ordinary,"45,359"
1,ordinary,ordinary,"45,651"
1,ordinary,ordinary,"39,851"
1,top_5,outstanding,"30,798"
1,ordinary,ordinary,"35,888"
1,ordinary,ordinary,"49,435"
4,top_5,outstanding,"34,318"
1,ordinary,ordinary,"45,296"
1,ordinary,ordinary,"46,175"
1,ordinary,ordinary,"50,041"
1,ordinary,ordinary,"44,233"
1,ordinary,ordinary,"46,315"
1,ordinary,ordinary,"47,671"
1,top_5,outstanding,"31,130"
1,ordinary,ordinary,"36,244"
1,ordinary,ordinary,"30,659"
1,ordinary,ordinary,"33,841"
1,ordinary,ordinary,"38,598"
34,top_5,outstanding,"32,082"
1,ordinary,ordinary,"40,364"
1,ordinary,ordinary,"36,629"
1,ordinary,ordinary,"55,339"
1,ordinary,ordinary,"29,200"
1,ordinary,ordinary,"39,153"
1,ordinary,ordinary,"42,488"
1,ordinary,ordinary,"32,067"
1,ordinary,ordinary,"49,318"
1,ordinary,ordinary,"54,180"
2,ordinary,ordinary,"55,428"
1,ordinary,ordinary,"48,008"
1,ordinary,ordinary,"43,141"
1,ordinary,ordinary,"31,289"
1,top_5_10,outstanding,"30,224"
1,ordinary,ordinary,"54,644"
5,top_5,outstanding,"33,583"
1,top_5,outstanding,"33,638"
1,ordinary,ordinary,"45,980"
1,ordinary,ordinary,"44,708"
1,ordinary,ordinary,"46,437"
1,ordinary,ordinary,"54,526"
1,top_5_10,outstanding,"37,466"
1,ordinary,ordinary,"40,456"
1,top_5,outstanding,"30,302"
3,top_5,outstanding,"31,161"
1,ordinary,ordinary,"34,439"
1,top_10_15,outstanding,"35,911"
2,top_5,outstanding,"45,548"
1,ordinary,ordinary,"31,904"
1,ordinary,ordinary,"39,963"
1,ordinary,ordinary,"45,635"
1,ordinary,ordinary,"30,884"
1,ordinary,ordinary,"40,623"
2,top_5,outstanding,"45,307"
1,ordinary,ordinary,"32,580"
1,top_5,outstanding,"28,809"
1,top_10_15,outstanding,"33,838"
1,ordinary,ordinary,"45,469"
2,ordinary,ordinary,"34,621"
1,top_5,outstanding,"29,319"
1,ordinary,ordinary,"30,167"
1,top_5_10,outstanding,"40,835"
1,ordinary,ordinary,"50,945"
1,ordinary,ordinary,"37,795"
1,ordinary,ordinary,"34,165"
11,top_5,outstanding,"44,650"
1,top_10_15,outstanding,"32,424"
1,top_5_10,outstanding,"53,026"
1,ordinary,ordinary,"31,926"
1,ordinary,ordinary,"36,518"
2,ordinary,ordinary,"37,696"
1,ordinary,ordinary,"41,416"
1,ordinary,ordinary,"53,005"
1,ordinary,ordinary,"34,596"
1,ordinary,ordinary,"46,417"
2,top_5,outstanding,"49,251"
1,top_10_15,outstanding,"35,784"
1,ordinary,ordinary,"38,215"
2,top_5,outstanding,"46,410"
1,ordinary,ordinary,"32,228"
2,top_5,outstanding,"44,728"
1,ordinary,ordinary,"55,854"
1,ordinary,ordinary,"37,073"
2,ordinary,ordinary,"44,467"
1,ordinary,ordinary,"45,438"
1,top_5_10,outstanding,"45,764"
1,ordinary,ordinary,"29,806"
1,ordinary,ordinary,"32,566"
1,ordinary,ordinary,"36,045"
1,ordinary,ordinary,"45,523"
1,ordinary,ordinary,"54,293"
1,ordinary,ordinary,"54,933"
1,ordinary,ordinary,"42,012"
1,ordinary,ordinary,"53,291"
1,top_5_10,outstanding,"36,995"
1,top_5,outstanding,"39,052"
3,top_5,outstanding,"32,680"
1,top_5_10,outstanding,"36,818"
1,ordinary,ordinary,"32,640"
1,ordinary,ordinary,"42,435"
1,ordinary,ordinary,"34,459"
112,top_5,outstanding,"33,332"
2,top_5,outstanding,"40,702"
1,ordinary,ordinary,"46,723"
1,ordinary,ordinary,"49,148"
1,top_5,outstanding,"33,104"
1,ordinary,ordinary,"46,467"
1,ordinary,ordinary,"36,702"
2,top_5,outstanding,"38,216"
1,ordinary,ordinary,"38,230"
4,top_5,outstanding,"36,273"
4,top_5,outstanding,"31,121"
1,ordinary,ordinary,"36,344"
1,top_5_10,outstanding,"37,531"
3,top_5,outstanding,"28,879"
1,ordinary,ordinary,"37,710"
1,ordinary,ordinary,"32,611"
1,top_5,outstanding,"31,612"
6,top_5,outstanding,"28,946"
1,top_5_10,outstanding,"35,397"
1,ordinary,ordinary,"36,815"
2,top_10_15,outstanding,"30,465"
1,ordinary,ordinary,"45,488"
2,top_5,outstanding,"34,992"
1,ordinary,ordinary,"37,441"
1,ordinary,ordinary,"39,562"
1,ordinary,ordinary,"32,187"
1,ordinary,ordinary,"40,520"
9,top_5,outstanding,"32,267"
1,ordinary,ordinary,"35,323"
1,top_5,outstanding,"36,476"
2,ordinary,ordinary,"35,336"
3,ordinary,ordinary,"34,720"
1,top_5,outstanding,"41,894"
1,ordinary,ordinary,"56,160"
1,ordinary,ordinary,"42,610"
6,top_5,outstanding,"36,149"
1,ordinary,ordinary,"33,280"
1,ordinary,ordinary,"37,673"
1,top_5,outstanding,"33,530"
1,ordinary,ordinary,"33,660"
10,top_5,outstanding,"36,260"
3,top_5,outstanding,"32,614"
1,top_10_15,outstanding,"36,162"
14,top_5,outstanding,"32,594"
1,ordinary,ordinary,"38,907"
1,ordinary,ordinary,"46,248"
2,top_5,outstanding,"31,285"
1,top_10_15,outstanding,"31,805"
1,ordinary,ordinary,"46,549"
3,top_5,outstanding,"29,280"
1,ordinary,ordinary,"37,176"
1,ordinary,ordinary,"40,854"
1,top_5,outstanding,"32,060"
1,top_10_15,outstanding,"28,842"
1,ordinary,ordinary,"44,459"
2,ordinary,ordinary,"52,591"
2,top_5,outstanding,"34,942"
1,ordinary,ordinary,"40,178"
1,ordinary,ordinary,"41,666"
1,ordinary,ordinary,"35,648"
1,ordinary,ordinary,"55,538"
1,top_5,outstanding,"30,146"
1,ordinary,ordinary,"51,033"
1,ordinary,ordinary,"48,414"
1,ordinary,ordinary,"51,525"
1,top_5,outstanding,"40,347"
1,ordinary,ordinary,"56,074"
1,ordinary,ordinary,"41,800"
1,ordinary,ordinary,"53,115"
1,top_5_10,outstanding,"29,904"
14,top_5,outstanding,"31,592"
1,ordinary,ordinary,"34,084"
1,ordinary,ordinary,"37,410"
1,ordinary,ordinary,"42,364"
1,top_5_10,outstanding,"35,481"
1,ordinary,ordinary,"29,698"
1,ordinary,ordinary,"45,172"
1,top_5_10,outstanding,"34,741"
1,ordinary,ordinary,"40,499"
3,top_5,outstanding,"42,185"
2,ordinary,ordinary,"42,336"
1,ordinary,ordinary,"43,336"
1,ordinary,ordinary,"41,966"
1,ordinary,ordinary,"56,112"
1,ordinary,ordinary,"50,769"
1,ordinary,ordinary,"43,531"
1,ordinary,ordinary,"46,309"
2,top_5,outstanding,"29,376"
1,top_5,outstanding,"29,976"
1,top_5,outstanding,"29,459"
1,ordinary,ordinary,"45,239"
3,top_5,outstanding,"43,474"
1,ordinary,ordinary,"56,024"
1,ordinary,ordinary,"30,114"
2,top_5,outstanding,"33,728"
1,ordinary,ordinary,"54,572"
1,ordinary,ordinary,"55,506"
2,top_5,outstanding,"33,115"
1,ordinary,ordinary,"51,537"
1,ordinary,ordinary,"36,121"
1,ordinary,ordinary,"45,386"
1,ordinary,ordinary,"34,113"
1,ordinary,ordinary,"32,238"
1,top_5,outstanding,"40,677"
1,ordinary,ordinary,"32,846"
1,top_5,outstanding,"33,753"
1,ordinary,ordinary,"38,531"
1,ordinary,ordinary,"31,250"
1,top_5,outstanding,"31,024"
1,top_5_10,outstanding,"34,682"
1,ordinary,ordinary,"35,230"
2,top_5_10,outstanding,"33,278"
1,top_5_10,outstanding,"35,144"
2,top_5,outstanding,"32,469"
1,ordinary,ordinary,"34,805"
1,ordinary,ordinary,"52,685"
1,ordinary,ordinary,"31,610"
2,top_5,outstanding,"32,320"
2,ordinary,ordinary,"29,557"
1,ordinary,ordinary,"33,669"
1,top_10_15,outstanding,"35,934"
1,top_5,outstanding,"35,104"
1,ordinary,ordinary,"50,251"
1,ordinary,ordinary,"45,008"
1,ordinary,ordinary,"50,796"
1,ordinary,ordinary,"41,387"
1,ordinary,ordinary,"52,705"
1,top_5_10,outstanding,"28,870"
1,ordinary,ordinary,"29,098"
1,top_5,outstanding,"29,417"
1,ordinary,ordinary,"39,587"
1,ordinary,ordinary,"35,158"
1,ordinary,ordinary,"34,726"
1,ordinary,ordinary,"39,239"
1,ordinary,ordinary,"55,379"
1,top_5,outstanding,"29,201"
1,top_5_10,outstanding,"29,876"
1,ordinary,ordinary,"32,111"
1,ordinary,ordinary,"37,500"
1,ordinary,ordinary,"37,510"
12,top_5,outstanding,"37,194"
1,ordinary,ordinary,"33,911"
1,top_5,outstanding,"36,390"
1,ordinary,ordinary,"41,188"
1,ordinary,ordinary,"47,496"
8,top_5,outstanding,"29,921"
1,ordinary,ordinary,"42,315"
3,top_5,outstanding,"44,035"
1,top_5_10,outstanding,"31,012"
2,ordinary,ordinary,"35,679"
1,ordinary,ordinary,"29,019"
1,ordinary,ordinary,"51,393"
1,top_5,outstanding,"31,311"
1,ordinary,ordinary,"31,714"
1,ordinary,ordinary,"52,146"
1,ordinary,ordinary,"37,524"
1,ordinary,ordinary,"32,839"
1,ordinary,ordinary,"31,407"
1,ordinary,ordinary,"31,675"
1,ordinary,ordinary,"29,492"
1,top_10_15,outstanding,"42,048"
